epoch,lr,train_loss,train_auc,val_loss,val_pair_auc,val_patient_auc_max,val_patient_auc_mean
1,0.0003,0.6548997410678555,0.6681353442919279,0.5695361923753169,0.8120192307692308,0.70703125,0.6666666666666666
2,0.0003,0.6338918111985298,0.6500028243800485,0.5895607157757408,0.6858173076923076,0.5755208333333334,0.4856770833333333
3,0.0003,0.599868761329332,0.6991329153250861,0.5603263252659848,0.7930288461538462,0.7044270833333334,0.6510416666666666
4,0.0003,0.6049661516757459,0.6894594136587019,0.5340648178468671,0.7829326923076924,0.6796875,0.6145833333333334
5,0.0003,0.5995563786906847,0.6817488561260803,0.566058217433461,0.7264423076923077,0.62890625,0.5729166666666666
6,0.0003,0.5998244770393659,0.6885556120431565,0.5751188470606219,0.740625,0.6354166666666666,0.56640625
7,0.0003,0.6012582976326845,0.6998107665367452,0.582854103623775,0.6810096153846154,0.58203125,0.4934895833333333
8,0.0003,0.6085403267105292,0.6702253855278766,0.5959843418054414,0.6911057692307693,0.62890625,0.5299479166666666
9,0.0003,0.6013651717184946,0.6908433598825058,0.5699627033451147,0.7418269230769231,0.6119791666666666,0.5325520833333334
10,0.0003,0.5913945462197033,0.706264474947749,0.5766969542754324,0.7161057692307692,0.6302083333333334,0.5625
11,0.0003,0.585932783035013,0.7217279557137208,0.5954013686431082,0.7254807692307692,0.65234375,0.5494791666666666
12,0.0003,0.5813802237006581,0.7176890922442524,0.5846814272696512,0.7709134615384615,0.6888020833333334,0.6315104166666666
13,0.0003,0.5764605643101108,0.7335479862170253,0.5639685998883164,0.7151442307692307,0.5924479166666666,0.5208333333333334
14,0.0003,0.6068871099714837,0.6790939388804158,0.5819506028242278,0.7007211538461539,0.6002604166666666,0.49609375
15,0.0003,0.5745623069930874,0.7285911992317686,0.5759419244632387,0.6889423076923077,0.5794270833333334,0.4752604166666667
16,0.0003,0.5859657186520524,0.7214737615093487,0.553874161159783,0.7483173076923076,0.65625,0.58984375
17,0.0003,0.581781536405012,0.7178444331469243,0.5714443754731563,0.7014423076923076,0.5924479166666666,0.4895833333333333
18,0.0003,0.581273038410446,0.723888606450884,0.5859496122912357,0.6973557692307693,0.5924479166666666,0.5169270833333334
19,0.0003,0.5811311027764502,0.7203863751906456,0.5927812467541611,0.7512019230769231,0.6744791666666666,0.5989583333333334
20,0.0003,0.5828531754184052,0.7289583686380839,0.5849921975219459,0.7502403846153847,0.6705729166666666,0.5924479166666666
