epoch,train_loss,train_auc,val_loss,val_pair_auc,val_patient_auc_max,val_patient_auc_mean
1,0.7251779818067363,0.5641699364723468,0.6918967994163525,0.6776121847363249,0.6336580086580087,0.6158008658008658
2,0.6838205956166087,0.6302083333333334,0.7105120528910868,0.6187356698329511,0.5941558441558441,0.6066017316017316
3,0.6886703400830039,0.6211579783258595,0.7185973873196756,0.6549295774647887,0.5984848484848485,0.6022727272727273
4,0.6904386913075167,0.6097058731938216,0.7035598885211012,0.6262692433671798,0.6001082251082251,0.6168831168831169
5,0.6846294889263078,0.6257006726457399,0.6894992552583735,0.6442843105142483,0.599025974025974,0.6109307359307359
6,0.6783770528494143,0.6444164175386149,0.6837043434108069,0.6640189977071733,0.6022727272727273,0.599025974025974
7,0.6768241457689821,0.6390134529147982,0.694211656757451,0.6493612839829676,0.6093073593073594,0.6212121212121212
8,0.6679610117198596,0.6529918721973094,0.7442389622285096,0.6098919095971176,0.5611471861471862,0.577922077922078
9,0.6690631496360878,0.656028120328849,0.6901549128217435,0.6383065836881756,0.5887445887445888,0.5936147186147186
10,0.6604495942592621,0.6704502989536621,0.6887242430393848,0.6585325908942025,0.5833333333333334,0.5974025974025974
11,0.66507520391271,0.6679862668161435,0.6889389719620392,0.6672944644611857,0.6309523809523809,0.6547619047619048
12,0.6744071205846625,0.6445020553064275,0.6870052270386198,0.6315099901735998,0.5643939393939394,0.5952380952380952
13,0.6485612229584089,0.6944444444444444,0.7141671189838957,0.6124303963314772,0.5551948051948052,0.5752164502164502
14,0.6518649624843224,0.6820620017438964,0.7613235184358894,0.6230756632820177,0.6103896103896104,0.6136363636363636
15,0.6525098790530286,0.6825875062282013,0.721039483033189,0.6303635768096953,0.5968614718614719,0.6168831168831169
16,0.6440777385936064,0.7063247384155455,0.8031512747208277,0.6464952505732067,0.6022727272727273,0.6147186147186147
17,0.6432435327106052,0.7010619083208769,0.6887613841153066,0.6532918440877825,0.577922077922078,0.6017316017316018
18,0.6393530170901928,0.7072317202291978,0.6865778456040479,0.6480510972813626,0.5914502164502164,0.6066017316017316
19,0.6318896823459201,0.7211906763826607,0.701979760821077,0.6445299705207992,0.6028138528138528,0.6212121212121212
20,0.6312106174581191,0.7214826233183856,0.6966735695115652,0.684736324926302,0.6439393939393939,0.6525974025974026
