epoch,train_loss,train_auc,val_loss,val_pair_auc,val_patient_auc_max,val_patient_auc_mean
1,0.7769803342719873,0.5288139953691793,0.900656632555005,0.5332459875532264,0.5081168831168831,0.4902597402597403
2,0.7300226918111244,0.5798173398507847,0.7439155200388089,0.5591221749099247,0.5378787878787878,0.538961038961039
3,0.7120774798095226,0.6074093130949318,0.7555965445821803,0.5594497215853259,0.5275974025974026,0.553030303030303
4,0.6914881728589535,0.6095960895291999,0.7982039910026282,0.5904028824107436,0.6444805194805194,0.6255411255411255
5,0.7087140157818794,0.5398765114484178,0.715798189880651,0.6134949230265313,0.6206709956709957,0.6347402597402597
6,0.6785518117249012,0.6354515050167224,0.7234764809090792,0.6262692433671798,0.6309523809523809,0.6168831168831169
7,0.7019963401059309,0.5699768458965784,0.725376182466472,0.5840157222404193,0.553030303030303,0.5752164502164502
8,0.6887012235820293,0.6124903524569076,0.7590886005385571,0.5845889289223715,0.6287878787878788,0.5963203463203464
9,0.6685633845627308,0.642397736043221,0.7244829588344702,0.6358499836226662,0.6304112554112554,0.6239177489177489
10,0.6689058157304922,0.6386673527141754,0.7580296553056175,0.5682934818211595,0.5313852813852814,0.5319264069264069
11,0.6855368862549464,0.6149343967069719,0.7203363711498564,0.6035866360956437,0.6244588744588745,0.6168831168831169
12,0.6817197079459826,0.6110753794700283,0.7152015498471916,0.6157058630854897,0.6423160173160173,0.6228354978354979
13,0.6505929132302603,0.6912143040905583,0.7265029364587334,0.5892564690468391,0.579004329004329,0.5882034632034632
14,0.6530150175094604,0.6712117314124003,0.7283576497244179,0.6029315427448412,0.599025974025974,0.5979437229437229
15,0.6633408615986506,0.6752636995111911,0.7319085311816738,0.6045692761218474,0.6174242424242424,0.6103896103896104
16,0.6578350240985552,0.6805376897350142,0.7272995504855381,0.6048149361283983,0.6136363636363636,0.6266233766233766
17,0.6735402618845304,0.6500514535631593,0.7287701330053697,0.6014575827055355,0.6066017316017316,0.6082251082251082
18,0.653561394661665,0.6819526627218935,0.8517786687986202,0.561333114968883,0.5135281385281385,0.5091991341991342
19,0.6615658712883791,0.6604064831489581,0.7767919620971796,0.6269243367179823,0.6309523809523809,0.6190476190476191
20,0.6580254894991716,0.6780293285310007,0.7457598353926924,0.5844251555846708,0.5903679653679653,0.5784632034632035
