threshold,df_fraction,patient_auc,sensitivity_at_spec0p8,threshold_for_spec0p8,sensitivity_at_spec0p85,threshold_for_spec0p85,sensitivity_at_spec0p9,threshold_for_spec0p9
0.009793639183044434,0.0,0.6688311688311688,0.42857142857142855,0.37,0.3333333333333333,0.42,0.2857142857142857,0.465
0.014667042493820191,0.0061162079510703364,0.6596320346320347,0.38095238095238093,0.37,0.2857142857142857,0.42,0.23809523809523808,0.465
0.01954044580459595,0.012232415902140673,0.6607142857142857,0.38095238095238093,0.37,0.2857142857142857,0.42,0.23809523809523808,0.465
0.024413849115371703,0.01834862385321101,0.6607142857142857,0.38095238095238093,0.37,0.2857142857142857,0.42,0.23809523809523808,0.465
0.02928725242614746,0.027522935779816515,0.6563852813852814,0.38095238095238093,0.37,0.23809523809523808,0.42,0.19047619047619047,0.465
0.034160655736923215,0.030581039755351678,0.6553030303030303,0.38095238095238093,0.37,0.23809523809523808,0.42,0.19047619047619047,0.465
0.03903405904769897,0.03669724770642202,0.658008658008658,0.38095238095238093,0.365,0.2857142857142857,0.4,0.19047619047619047,0.46
0.04390746235847473,0.04281345565749235,0.6617965367965368,0.38095238095238093,0.36,0.3333333333333333,0.385,0.19047619047619047,0.44
0.04878086566925049,0.04892966360856269,0.6688311688311688,0.38095238095238093,0.36,0.3333333333333333,0.375,0.19047619047619047,0.435
0.053654268980026246,0.04892966360856269,0.6688311688311688,0.38095238095238093,0.36,0.3333333333333333,0.375,0.19047619047619047,0.435
0.058527672290802,0.04892966360856269,0.6688311688311688,0.38095238095238093,0.36,0.3333333333333333,0.375,0.19047619047619047,0.435
0.06340107560157776,0.051987767584097865,0.6655844155844156,0.38095238095238093,0.36,0.3333333333333333,0.375,0.14285714285714285,0.435
0.06827447891235351,0.05504587155963303,0.66504329004329,0.38095238095238093,0.36,0.3333333333333333,0.375,0.14285714285714285,0.44
0.07314788222312928,0.05504587155963303,0.66504329004329,0.38095238095238093,0.36,0.3333333333333333,0.375,0.14285714285714285,0.44
0.07802128553390503,0.05810397553516819,0.663961038961039,0.38095238095238093,0.36,0.3333333333333333,0.375,0.14285714285714285,0.44
0.08289468884468079,0.06422018348623854,0.66504329004329,0.38095238095238093,0.36,0.3333333333333333,0.375,0.19047619047619047,0.44
