epoch,loss,hard_loss,kl_loss,val_patient_auc
1,0.569098756959041,0.7717946733658513,0.48222906965141493,0.6114718614718615
2,0.5267216134816408,0.7387080465753874,0.4358702786266804,0.6336580086580087
3,0.5147110763937235,0.7417488736100495,0.4174091593983273,0.6006493506493507
4,0.5206272875269254,0.7530274981011947,0.42102719470858574,0.5752164502164502
5,0.48910643827791017,0.7124433862045407,0.3933905997934441,0.5800865800865801
6,0.5102542322129011,0.7371240160427988,0.41302431964625913,0.5573593073593074
7,0.48249915226673085,0.7135123418023189,0.38349349789010984,0.6028138528138528
8,0.48723106971010566,0.7124138027429581,0.3907241774722934,0.6688311688311688
9,0.46404398046433926,0.6999894746889671,0.36292447227363783,0.6233766233766234
10,0.46190707649414736,0.696948926585416,0.3611748486291617,0.6033549783549783
11,0.4659268877779444,0.7048035462697347,0.3635511735919863,0.5773809523809523
12,0.4643549855488042,0.697522295328478,0.3644261305841307,0.6374458874458875
13,0.450205749211212,0.6808824784432849,0.35134429096554715,0.6504329004329005
14,0.44656413855652016,0.6793835728118817,0.34678437599601847,0.6612554112554112
15,0.4510842875267069,0.6827224221390983,0.35181079773853224,0.6655844155844156
16,0.4432833318909009,0.6768376364683112,0.34318862568276626,0.6439393939393939
17,0.43774990271776915,0.6791301923803985,0.33430120108338696,0.7083333333333334
18,0.43177760221684974,0.6732233283109963,0.3283008602447808,0.6147186147186147
19,0.42163317650556564,0.6638524549392363,0.3178249071352184,0.6574675324675324
20,0.41802115567649406,0.6555190361104906,0.31623633997514844,0.6574675324675324
21,0.4147205625971158,0.6656297052589556,0.3071880657225847,0.6563852813852814
22,0.4131196524637441,0.6539031062275171,0.30992673655661446,0.6634199134199135
23,0.4099008173992236,0.6562963727240761,0.30430271569639444,0.7007575757575758
24,0.40918385749682784,0.6494461592907707,0.3062142905158301,0.6693722943722944
25,0.3957388506581386,0.6344745702420672,0.2934235338276873,0.685064935064935
26,0.3989452556706965,0.6574203884229064,0.28817019417571527,0.6996753246753247
27,0.4039970887824893,0.6472190033333997,0.29975911501484614,0.6764069264069265
28,0.39538994726414484,0.627550990631183,0.2958923541785528,0.6715367965367965
29,0.39857883052900434,0.6411573480193814,0.2946166047671189,0.6807359307359307
30,0.40281795679281157,0.6448308678033451,0.2990981266678621,0.6737012987012987
