epoch,lr,train_loss,train_auc,val_loss,val_pair_auc,val_patient_auc_max,val_patient_auc_mean
1,0.0003,0.7058288277312735,0.5364917851386785,0.5885003198657119,0.8214555527574918,0.6770833333333334,0.6510416666666666
2,0.0003,0.6664388815229787,0.5823049722162084,0.6096238263866358,0.628808864265928,0.4817708333333333,0.4479166666666667
3,0.0003,0.6469786540957086,0.6208053691275168,0.5643424757739954,0.7736086628053387,0.6328125,0.5833333333333334
4,0.0003,0.6395457070528434,0.6351422866902408,0.5551727027223822,0.8249811130697557,0.6666666666666666,0.6575520833333334
5,0.0003,0.6485675342660303,0.6078636549517693,0.56812304153777,0.7403676655754218,0.6080729166666666,0.5052083333333334
6,0.0003,0.6444975535074869,0.6198311322797142,0.5782494775035925,0.6925207756232687,0.5559895833333334,0.5026041666666666
7,0.0003,0.6357595537691977,0.6374636164634,0.5537339093392355,0.7446487030974566,0.6145833333333334,0.5520833333333334
8,0.0003,0.625279755517463,0.6728488609848211,0.5474226767556709,0.8290103248552002,0.7669270833333334,0.65234375
9,0.0003,0.634721224008481,0.6459430853239037,0.5982479233490793,0.8103752203475195,0.7369791666666666,0.5846354166666666
10,0.0003,0.6140302705305809,0.6819898486925982,0.5757859171482554,0.8159153865525056,0.71875,0.6614583333333334
11,0.0003,0.6329936332011779,0.6538211734141589,0.557546759906568,0.6985645933014354,0.5651041666666666,0.48828125
12,0.0003,0.6324671256264414,0.6593057660388252,0.5732965134737784,0.8023167967766306,0.7643229166666666,0.5325520833333334
13,0.0003,0.6275509796062864,0.6519689206417936,0.5857344886712861,0.7859481238982624,0.6940104166666666,0.58203125
14,0.0003,0.6215863495974555,0.6778403213778836,0.5361089392712242,0.7831780407957694,0.6927083333333334,0.5807291666666666
15,0.0003,0.6246702665615952,0.670515503596257,0.5535719645650763,0.8086124401913876,0.7109375,0.6380208333333334
16,0.0003,0.6273571302342439,0.6748334175266412,0.551048359327149,0.7610173759758248,0.6419270833333334,0.58203125
17,0.0003,0.6119419392179453,0.6882923191648024,0.529718744127374,0.7997985394107278,0.69140625,0.68359375
18,0.0003,0.6245361087653171,0.6574535132664598,0.5523928780304758,0.7685721480735331,0.6653645833333334,0.5716145833333334
19,0.0003,0.632694704071246,0.6489259339443362,0.5595805122141253,0.6683455049106019,0.54296875,0.4986979166666667
20,0.0003,0.6197006204811877,0.6592937384234202,0.5236061100374189,0.7970284563082347,0.69140625,0.6731770833333334
