epoch,train_loss,train_auc,val_loss,val_pair_auc,val_patient_auc_max,val_patient_auc_mean
1,0.7726300725570092,0.5702170963364993,0.7179461806921419,0.596053062561415,0.6136363636363636,0.5930735930735931
2,0.7145304511754941,0.649932157394844,0.7417355689251459,0.5772191287258435,0.5952380952380952,0.5795454545454546
3,0.6888584418174548,0.6977611940298507,0.7387809447647964,0.5906485424172945,0.5941558441558441,0.5676406926406926
4,0.6529517387732481,0.7340569877883311,0.7466041521377155,0.5904847690795938,0.5708874458874459,0.5708874458874459
5,0.6173930924672347,0.7924016282225237,0.740719848224147,0.5805764821487062,0.5795454545454546,0.551948051948052
6,0.6616238325070112,0.7137042062415196,0.730772935605924,0.553144448083852,0.5487012987012987,0.5281385281385281
7,0.6195307068335705,0.7506784260515604,0.8446866131703789,0.5867998689813299,0.5681818181818182,0.553030303030303
8,0.6451805875851557,0.7479647218453188,0.7269673617699095,0.5569931215198166,0.5551948051948052,0.5541125541125541
9,0.628428829021943,0.7452510176390773,0.7826939078235845,0.5475761546020308,0.5795454545454546,0.5741341991341992
10,0.6000347022826855,0.7662822252374492,0.734487174528819,0.5533901080904029,0.5681818181818182,0.5611471861471862
11,0.5741637517244388,0.8049525101763908,0.7466708426719776,0.5805764821487062,0.5681818181818182,0.5584415584415584
12,0.5542582036593021,0.8229308005427408,0.7849080406288853,0.5276776940714052,0.5027056277056277,0.49945887445887444
13,0.5947078611606207,0.7869742198100407,0.7671551904455967,0.5587946282345234,0.5784632034632035,0.5622294372294372
14,0.5547650563411224,0.8154681139755766,0.8313737058675982,0.5777104487389453,0.5573593073593074,0.5546536796536796
15,0.6241339185299017,0.7615332428765265,0.7529839129167231,0.565263675073698,0.604978354978355,0.5627705627705628
16,0.5122546507762029,0.8673677069199457,0.898726473126663,0.5470029479200786,0.586038961038961,0.5876623376623377
17,0.5611362976905627,0.8239484396200815,0.7608598194082213,0.5560104814936129,0.5568181818181818,0.5492424242424242
18,0.6003849506378174,0.7669606512890095,0.8831494437809749,0.554208974778906,0.579004329004329,0.5546536796536796
19,0.5506598154703776,0.8510854816824966,0.7714291705724297,0.5320176875204716,0.5579004329004329,0.553030303030303
20,0.5052601985442333,0.8863636363636364,0.7552407344273471,0.5498689813298395,0.5827922077922078,0.5665584415584416
