epoch,loss,ce_bf,ce_df,cons_loss,auc_bf,auc_df,val_patient_auc_bf,val_patient_auc_df,val_patient_auc_mean
1,1.4919746617086573,0.7380972307491925,0.7380998846752191,0.15777539599175547,0.566826082781139,0.5172150196869298,0.5903679653679653,0.5422077922077922,0.5662878787878788
2,1.4154415236579048,0.7005939356641832,0.698945721146328,0.15901870431463702,0.6065571881302219,0.5905272255834053,0.5411255411255411,0.6152597402597403,0.5781926406926408
3,1.414829110787585,0.7023859454136269,0.6965210158840504,0.1592213604964462,0.5985863824066071,0.59701526937482,0.5909090909090909,0.5243506493506493,0.5576298701298701
4,1.4176839197383206,0.7027764798768985,0.7005523063778099,0.14355139202541775,0.5839047344665322,0.5795255930087391,0.6369047619047619,0.551948051948052,0.5944264069264069
5,1.401924424857096,0.6914737503513012,0.6942643094686122,0.16186368862787884,0.6171631614328243,0.6041448189762797,0.6152597402597403,0.6623376623376623,0.6387987012987013
6,1.4212386843425775,0.6974974465526007,0.7063968877387202,0.1734436458232356,0.6047363872082974,0.5688005377893018,0.6542207792207793,0.5324675324675324,0.5933441558441559
7,1.4104114728815416,0.6919054154477088,0.7004859676548079,0.1802009502267526,0.6208162873331413,0.5956900028810141,0.5892857142857143,0.6066017316017316,0.597943722943723
8,1.4067129222396153,0.6943910695368948,0.6956690974484862,0.16652755059447943,0.6033919139537117,0.6069797368673773,0.571969696969697,0.6195887445887446,0.5957792207792207
9,1.3980380436953377,0.6832530274110682,0.7002290988280103,0.14555915290234137,0.6365312590031691,0.5885335638144626,0.5010822510822511,0.6174242424242424,0.5592532467532467
10,1.4033973500619528,0.6844483382561628,0.7018697046766094,0.17079304760577632,0.6306232593873043,0.5873465859982714,0.5822510822510822,0.6682900432900433,0.6252705627705628
11,1.3971124094296126,0.6879742472779518,0.6934069378703248,0.15731234815385606,0.6223528281955248,0.6085201190819168,0.5,0.58495670995671,0.542478354978355
12,1.3903356885598377,0.6793730574106079,0.6941205281058168,0.16842110320633533,0.6506443868241621,0.6001152405646788,0.5687229437229437,0.5584415584415584,0.563582251082251
13,1.3821766039904426,0.6770649054471184,0.688452270451714,0.1665942223243464,0.6530759627388841,0.6208700662633246,0.6466450216450217,0.5762987012987013,0.6114718614718615
14,1.3841642897113475,0.6727829992381575,0.6937981638253904,0.1758312293906617,0.6618572937674061,0.6031460674157303,0.6309523809523809,0.6217532467532467,0.6263528138528138
15,1.388945972218233,0.6779302674960467,0.6946224376267078,0.16393274536319807,0.6507788341496207,0.6085738980121003,0.6277056277056277,0.5941558441558441,0.6109307359307359
16,1.392081216503592,0.6899180172705183,0.6843672774586023,0.17795917302175285,0.6270853740516662,0.6311725727456065,0.6174242424242424,0.5930735930735931,0.6052489177489178
17,1.3800511223038816,0.6774320652282316,0.6844991913807937,0.18119867190816044,0.6472908863920099,0.6424776721405935,0.5887445887445888,0.612012987012987,0.6003787878787878
18,1.3766607417000665,0.6729724266170676,0.6861746774779426,0.17513647765115975,0.6602516085662153,0.6283991164890042,0.6060606060606061,0.5757575757575758,0.5909090909090909
19,1.3560815312503989,0.6676011995552412,0.6707236528396606,0.17756682759016948,0.6653183520599251,0.6606242197253434,0.6444805194805194,0.5768398268398268,0.6106601731601731
20,1.3851193050153894,0.6782820120746014,0.6893321864745197,0.17505107876522089,0.6485854220685682,0.6154422356669548,0.5898268398268398,0.5346320346320347,0.5622294372294372
