threshold,df_fraction,patient_auc,sensitivity_at_spec0p8,threshold_for_spec0p8,sensitivity_at_spec0p85,threshold_for_spec0p85,sensitivity_at_spec0p9,threshold_for_spec0p9
0.0010236799716949463,0.0,0.5818607068607069,0.23076923076923078,0.325,0.17307692307692307,0.34500000000000003,0.17307692307692307,0.38
0.005975443720817566,0.0016666666666666666,0.5818607068607069,0.23076923076923078,0.325,0.17307692307692307,0.34500000000000003,0.17307692307692307,0.38
0.010927207469940185,0.0016666666666666666,0.5818607068607069,0.23076923076923078,0.325,0.17307692307692307,0.34500000000000003,0.17307692307692307,0.38
0.015878971219062805,0.0016666666666666666,0.5818607068607069,0.23076923076923078,0.325,0.17307692307692307,0.34500000000000003,0.17307692307692307,0.38
0.020830734968185424,0.005,0.5830301455301455,0.23076923076923078,0.325,0.17307692307692307,0.34500000000000003,0.17307692307692307,0.38
0.025782498717308044,0.005,0.5830301455301455,0.23076923076923078,0.325,0.17307692307692307,0.34500000000000003,0.17307692307692307,0.38
0.030734262466430663,0.005,0.5830301455301455,0.23076923076923078,0.325,0.17307692307692307,0.34500000000000003,0.17307692307692307,0.38
0.03568602621555328,0.008333333333333333,0.5826403326403327,0.23076923076923078,0.325,0.17307692307692307,0.34500000000000003,0.17307692307692307,0.38
0.0406377899646759,0.01,0.5826403326403327,0.23076923076923078,0.325,0.17307692307692307,0.34500000000000003,0.17307692307692307,0.38
0.045589553713798525,0.01,0.5826403326403327,0.23076923076923078,0.325,0.17307692307692307,0.34500000000000003,0.17307692307692307,0.38
0.05054131746292114,0.011666666666666665,0.5826403326403327,0.23076923076923078,0.325,0.17307692307692307,0.34500000000000003,0.17307692307692307,0.38
0.05549308121204376,0.013333333333333332,0.5822505197505198,0.23076923076923078,0.325,0.17307692307692307,0.34500000000000003,0.17307692307692307,0.38
0.06044484496116638,0.013333333333333332,0.5822505197505198,0.23076923076923078,0.325,0.17307692307692307,0.34500000000000003,0.17307692307692307,0.38
0.065396608710289,0.015,0.5822505197505198,0.23076923076923078,0.325,0.17307692307692307,0.34500000000000003,0.17307692307692307,0.38
0.07034837245941161,0.016666666666666666,0.5819906444906445,0.23076923076923078,0.325,0.17307692307692307,0.34500000000000003,0.17307692307692307,0.38
0.07530013620853424,0.01833333333333333,0.5817307692307693,0.23076923076923078,0.325,0.17307692307692307,0.34500000000000003,0.17307692307692307,0.38
0.08025189995765686,0.021666666666666664,0.581470893970894,0.23076923076923078,0.325,0.17307692307692307,0.34500000000000003,0.17307692307692307,0.38
0.08520366370677948,0.025,0.5808212058212058,0.23076923076923078,0.325,0.17307692307692307,0.34500000000000003,0.17307692307692307,0.38
0.0901554274559021,0.03,0.5804313929313929,0.23076923076923078,0.325,0.17307692307692307,0.34500000000000003,0.17307692307692307,0.38
0.09510719120502471,0.03166666666666666,0.5801715176715176,0.23076923076923078,0.325,0.17307692307692307,0.34500000000000003,0.17307692307692307,0.38
0.10005895495414734,0.03166666666666666,0.5801715176715176,0.23076923076923078,0.325,0.17307692307692307,0.34500000000000003,0.17307692307692307,0.38
0.10501071870326996,0.03333333333333333,0.58004158004158,0.23076923076923078,0.325,0.17307692307692307,0.34500000000000003,0.17307692307692307,0.38
0.10996248245239257,0.035,0.58004158004158,0.23076923076923078,0.325,0.17307692307692307,0.34500000000000003,0.17307692307692307,0.38
0.11491424620151519,0.03666666666666667,0.5792619542619543,0.23076923076923078,0.325,0.17307692307692307,0.34500000000000003,0.17307692307692307,0.38
0.11986600995063781,0.03833333333333333,0.5792619542619543,0.23076923076923078,0.325,0.17307692307692307,0.34500000000000003,0.17307692307692307,0.38
0.12481777369976044,0.04833333333333333,0.5782224532224532,0.23076923076923078,0.325,0.17307692307692307,0.34500000000000003,0.1346153846153846,0.48
0.12976953744888306,0.05166666666666666,0.577962577962578,0.23076923076923078,0.325,0.17307692307692307,0.34500000000000003,0.1346153846153846,0.485
0.13472130119800568,0.05333333333333333,0.577962577962578,0.23076923076923078,0.325,0.17307692307692307,0.34500000000000003,0.1346153846153846,0.485
0.13967306494712828,0.06166666666666666,0.5778326403326404,0.23076923076923078,0.325,0.17307692307692307,0.34500000000000003,0.1346153846153846,0.485
0.1446248286962509,0.06166666666666666,0.5778326403326404,0.23076923076923078,0.325,0.17307692307692307,0.34500000000000003,0.1346153846153846,0.485
0.14957659244537352,0.06666666666666667,0.5778326403326404,0.23076923076923078,0.325,0.17307692307692307,0.34500000000000003,0.1346153846153846,0.485
0.15452835619449615,0.07166666666666666,0.5773128898128899,0.23076923076923078,0.325,0.17307692307692307,0.34500000000000003,0.1346153846153846,0.485
0.15948011994361877,0.07666666666666666,0.5774428274428275,0.23076923076923078,0.325,0.19230769230769232,0.43,0.1346153846153846,0.49
0.1644318836927414,0.07833333333333332,0.5799116424116424,0.23076923076923078,0.325,0.21153846153846154,0.43,0.15384615384615385,0.49
0.16938364744186402,0.08166666666666667,0.5799116424116424,0.23076923076923078,0.325,0.21153846153846154,0.435,0.15384615384615385,0.49
0.17433541119098664,0.08666666666666666,0.5797817047817048,0.23076923076923078,0.325,0.21153846153846154,0.435,0.15384615384615385,0.49
0.17928717494010926,0.095,0.5784823284823285,0.23076923076923078,0.38,0.21153846153846154,0.445,0.15384615384615385,0.495
0.18423893868923186,0.10166666666666666,0.5783523908523909,0.21153846153846154,0.42,0.21153846153846154,0.445,0.15384615384615385,0.495
0.18919070243835448,0.105,0.5783523908523909,0.21153846153846154,0.42,0.21153846153846154,0.445,0.15384615384615385,0.495
0.1941424661874771,0.10833333333333332,0.5797817047817048,0.23076923076923078,0.425,0.23076923076923078,0.445,0.15384615384615385,0.495
0.19909422993659973,0.11666666666666665,0.5777027027027027,0.23076923076923078,0.43,0.19230769230769232,0.47000000000000003,0.11538461538461539,0.515
0.20404599368572235,0.12333333333333332,0.5795218295218295,0.25,0.435,0.19230769230769232,0.47000000000000003,0.11538461538461539,0.515
0.20899775743484497,0.13166666666666665,0.5844594594594594,0.28846153846153844,0.435,0.21153846153846154,0.47000000000000003,0.11538461538461539,0.515
0.2139495211839676,0.14,0.5843295218295218,0.28846153846153844,0.435,0.21153846153846154,0.47000000000000003,0.11538461538461539,0.515
0.2189012849330902,0.15833333333333333,0.5913461538461539,0.34615384615384615,0.435,0.23076923076923078,0.47000000000000003,0.11538461538461539,0.515
0.2238530486822128,0.17666666666666664,0.5948544698544699,0.36538461538461536,0.435,0.23076923076923078,0.47000000000000003,0.11538461538461539,0.515
0.22880481243133544,0.18166666666666667,0.5939449064449065,0.36538461538461536,0.435,0.23076923076923078,0.47000000000000003,0.11538461538461539,0.515
0.23375657618045806,0.19166666666666665,0.5926455301455301,0.36538461538461536,0.435,0.23076923076923078,0.47000000000000003,0.11538461538461539,0.515
0.23870833992958068,0.205,0.5913461538461539,0.3269230769230769,0.445,0.23076923076923078,0.47000000000000003,0.11538461538461539,0.515
0.2436601036787033,0.21,0.5886174636174636,0.3076923076923077,0.45,0.23076923076923078,0.47000000000000003,0.11538461538461539,0.515
0.24861186742782593,0.22833333333333333,0.5831600831600832,0.3076923076923077,0.45,0.23076923076923078,0.47000000000000003,0.11538461538461539,0.515
0.2535636311769485,0.25,0.581081081081081,0.3076923076923077,0.45,0.23076923076923078,0.47000000000000003,0.11538461538461539,0.515
0.2585153949260712,0.28,0.5749740124740125,0.3076923076923077,0.45,0.23076923076923078,0.47000000000000003,0.11538461538461539,0.515
0.26346715867519377,0.29833333333333334,0.5822505197505198,0.3269230769230769,0.455,0.25,0.47000000000000003,0.11538461538461539,0.515
0.2684189224243164,0.32166666666666666,0.5851091476091476,0.3076923076923077,0.46,0.19230769230769232,0.48,0.11538461538461539,0.515
0.273370686173439,0.3466666666666666,0.5861486486486487,0.3076923076923077,0.46,0.19230769230769232,0.48,0.11538461538461539,0.515
0.2783224499225616,0.36666666666666664,0.589527027027027,0.28846153846153844,0.465,0.19230769230769232,0.48,0.11538461538461539,0.515
0.28327421367168426,0.385,0.5964137214137214,0.28846153846153844,0.465,0.19230769230769232,0.48,0.11538461538461539,0.515
0.28822597742080686,0.405,0.6016112266112266,0.28846153846153844,0.465,0.19230769230769232,0.48,0.11538461538461539,0.515
