epoch,train_loss,train_auc,val_loss,val_pair_auc,val_patient_auc_max,val_patient_auc_mean
1,0.7616211312512556,0.6104191616766467,0.8918215468389179,0.526039960694399,0.49837662337662336,0.5
2,0.6883356980979443,0.6720958083832336,0.8135775724135408,0.5337373075663282,0.48917748917748916,0.5075757575757576
3,0.6547349616885185,0.691497005988024,0.779999160803057,0.5448738945299705,0.5097402597402597,0.5135281385281385
4,0.6545748443653187,0.6963473053892215,0.7851264335511292,0.535784474287586,0.49242424242424243,0.5097402597402597
5,0.6385080801943938,0.7074850299401197,0.7713555461222973,0.5452014412053717,0.4897186147186147,0.5108225108225108
6,0.6480270847678185,0.6974251497005988,0.729431430362051,0.5783655420897478,0.573051948051948,0.5514069264069265
7,0.6388915615777174,0.7147904191616766,0.9203882000497358,0.5098264002620373,0.474025974025974,0.46915584415584416
8,0.6455374335249265,0.7056886227544911,0.7794796059346709,0.5627251883393384,0.5275974025974026,0.5173160173160173
9,0.646305492768685,0.7006586826347305,0.7797876385009253,0.5472486079266295,0.49296536796536794,0.5037878787878788
10,0.6200076875587305,0.73562874251497,0.7410073732381931,0.5845070422535211,0.5432900432900433,0.54004329004329
11,0.626754825313886,0.7218562874251497,0.7520474404187742,0.5559285948247625,0.5021645021645021,0.5081168831168831
12,0.6212250875929991,0.7367065868263473,0.7883461323717683,0.523419587291189,0.4675324675324675,0.4751082251082251
13,0.6369513235986233,0.7195209580838323,0.7439626922848028,0.580003275466754,0.5633116883116883,0.5395021645021645
14,0.6249250918626785,0.7301796407185629,0.7682250298855866,0.5475761546020308,0.4967532467532468,0.5075757575757576
15,0.6159771575282017,0.7346107784431137,0.8892488680119179,0.5551097281362594,0.49134199134199136,0.5037878787878788
16,0.6144668161869049,0.7419760479041916,0.7387162085155464,0.5753357353422863,0.5254329004329005,0.520021645021645
17,0.5967009005447229,0.7676646706586826,0.7736174956374212,0.5660006550933508,0.5064935064935064,0.5124458874458875
18,0.616731641193231,0.7353892215568862,0.784546210906192,0.6048149361283983,0.566017316017316,0.5422077922077922
19,0.6034414234260718,0.7537125748502994,1.592508267918858,0.5237471339665902,0.46320346320346323,0.474025974025974
20,0.6405484148611625,0.7101796407185629,0.8642359573724437,0.5215361939076318,0.4724025974025974,0.474025974025974
