epoch,lr,train_loss,train_auc,val_loss,val_pair_auc,val_patient_auc_max,val_patient_auc_mean
1,0.0003,0.7144834205769656,0.5117102556567734,0.6522597764667711,0.5933014354066986,0.44921875,0.4205729166666667
2,0.0003,0.6512640725102341,0.5925653834851602,0.6056992024706122,0.8176781667086376,0.7643229166666666,0.6627604166666666
3,0.0003,0.6476729961863735,0.5970320305612695,0.6156049674017388,0.7841853437421304,0.7044270833333334,0.5924479166666666
4,0.0003,0.6357691656602057,0.623082574199236,0.5952913363774618,0.7073784940820952,0.58984375,0.5182291666666666
5,0.0003,0.6252325731411315,0.6480752277402292,0.5652242857113219,0.7899773356837069,0.6966145833333334,0.609375
6,0.0003,0.6225096138945797,0.6631795474581251,0.6623727872706296,0.7091412742382271,0.5768229166666666,0.5794270833333334
7,0.0003,0.6334515551203176,0.6289450484866295,0.563550635388023,0.8003021908839083,0.7083333333333334,0.6223958333333334
8,0.0003,0.6082367604238945,0.6896855715545107,0.5735372895734352,0.7743641400151096,0.6640625,0.63671875
9,0.0003,0.6008048078470063,0.6982368498383779,0.5413855690705148,0.8043314026693528,0.734375,0.625
10,0.0003,0.6181569507247523,0.6709961798413164,0.5842620594459668,0.8128934777134224,0.7291666666666666,0.67578125
11,0.0003,0.6047102299175764,0.6941669115486335,0.5573226799044693,0.7602618987660539,0.6432291666666666,0.5911458333333334
12,0.0003,0.6005910229787492,0.6941669115486335,0.577380148988021,0.7904809871568874,0.6979166666666666,0.6276041666666666
13,0.0003,0.5796406229859904,0.7379371143109021,0.5262783818077623,0.80181314530345,0.7083333333333334,0.6875
14,0.0003,0.6278713646165112,0.652953276520717,0.5795566387343825,0.7799043062200957,0.6901041666666666,0.6419270833333334
15,0.0003,0.6035171579896358,0.6859682632970908,0.5429510902940181,0.786451775371443,0.7395833333333334,0.625
16,0.0003,0.6182875397958254,0.6517631501616221,0.5358739474363494,0.8181818181818182,0.74609375,0.6653645833333334
17,0.0003,0.6118851795531156,0.6653981780781664,0.5418198422381753,0.8181818181818182,0.7278645833333334,0.7005208333333334
18,0.0003,0.6006012548480117,0.6999853070819865,0.5273431591820299,0.8123898262402418,0.7369791666666666,0.7265625
19,0.0003,0.6034944818208092,0.70505436379665,0.5295058227421945,0.7965248048350542,0.7291666666666666,0.66015625
20,0.0003,0.606437310315015,0.6774463708492506,0.5619358284431591,0.7703349282296651,0.6432291666666666,0.6015625
