epoch,lr,train_loss,train_auc,val_loss,val_pair_auc,val_patient_auc_max,val_patient_auc_mean
1,0.0003,0.7300982649127642,0.5018366147516897,0.6883948372121442,0.5381515990934274,0.47265625,0.4622395833333333
2,0.0003,0.6547428134240603,0.5819570966794005,0.6074127398039165,0.7839335180055401,0.7161458333333334,0.6328125
3,0.0003,0.6570920264511778,0.5652806347340582,0.614774791817916,0.7703349282296651,0.69921875,0.61328125
4,0.0003,0.6484240356244539,0.5902439024390244,0.637856314056798,0.6826995718962477,0.5455729166666666,0.5065104166666666
5,0.0003,0.6406633963710383,0.6032765207170144,0.5814720873247113,0.7844371694787208,0.7096354166666666,0.6458333333333334
6,0.0003,0.6327785943683825,0.6418160446664708,0.7272232603608516,0.7101485771845882,0.62890625,0.6458333333333334
7,0.0003,0.6427066833303686,0.6086394357919482,0.5778397279873229,0.7806597834298665,0.6861979166666666,0.6263020833333334
8,0.0003,0.6154893106013014,0.6817513958272113,0.6079445026422802,0.7665575421808108,0.6692708333333334,0.6666666666666666
9,0.0003,0.6107324806221744,0.6840875697913605,0.5513020251926622,0.8020649710400403,0.73828125,0.6796875
10,0.0003,0.6257349869661164,0.6565383485160153,0.5900539766278183,0.8118861747670612,0.7213541666666666,0.6888020833333334
11,0.0003,0.6107854231407768,0.6827505142521305,0.5553056043491029,0.7814152606396374,0.67578125,0.62890625
12,0.0003,0.6036628573610071,0.6957390537760799,0.62594095029329,0.7766305716444221,0.6848958333333334,0.6145833333333334
13,0.0003,0.5824081218033507,0.7380105789009698,0.5371224190059462,0.7987912364643667,0.7122395833333334,0.6875
14,0.0003,0.6365732354553122,0.6342198060534823,0.6167969996469063,0.7834298665323596,0.6705729166666666,0.6067708333333334
15,0.0003,0.6177893986827449,0.6654569497502204,0.5506268415534705,0.7995467136741375,0.7291666666666666,0.6927083333333334
16,0.0003,0.6162075175527941,0.6713341169556274,0.5816990534464518,0.7592545958196928,0.6497395833333334,0.5078125
17,0.0003,0.6106819724827482,0.6596385542168675,0.5572066160670498,0.8088642659279779,0.7395833333333334,0.6979166666666666
18,0.0003,0.6041460008474818,0.6967381722009991,0.5344855137038649,0.7967766305716444,0.7135416666666666,0.6796875
19,0.0003,0.6026332116963571,0.7069791360564208,0.5404145654879118,0.8055905313523042,0.7552083333333334,0.70703125
20,0.0003,0.6085815644055083,0.6766823391125477,0.5660282708050912,0.778393351800554,0.65625,0.6236979166666666
