k,cond_mean,cond_lo,cond_hi,bf_mean,bf_lo,bf_hi,n_seeds
0,0.5485966735966736,0.46214464142095724,0.6402233513471177,0.5402806652806653,0.4516149140909033,0.635465542002171,1
5,0.560984060984061,0.4689315927172759,0.6562655394600859,0.5532311157311157,0.4602317913671181,0.6508371574247279,3
10,0.5787855162855163,0.49027040716062453,0.6658669610341709,0.5444386694386695,0.45390579207006815,0.6417051549566098,3
25,0.5227823977823979,0.43405786594190715,0.6115346390353239,0.5002165627165627,0.41038157523334134,0.5956273435758991,3
50,0.5439189189189189,0.4576383629490808,0.6317427692914047,0.5271569646569647,0.4395049181300192,0.6191143030118759,3
100,0.5948544698544699,0.5152700864825747,0.6745493526743526,0.5552234927234927,0.47258306392103866,0.643505724835038,1
148,0.6181133056133056,0.5268842258354244,0.6978034178064306,0.6033004158004158,0.5111601077488859,0.685171879540831,1
