epoch,byol_loss,train_mean_alignment,val_mean_alignment,val_median_alignment,val_std_alignment,lr
1,1.6250371577891898,0.8443040150277158,0.3755938904825598,0.3376494348049164,0.15702426344207784,0.00029992672421431113
2,0.9551138142321972,0.8253064054123899,0.31850950997322797,0.2895469069480896,0.1368781678788841,0.00029970696917159834
3,0.800276720777471,0.8228010903013513,0.32060281266458335,0.2866259664297104,0.11774891386665032,0.0002993409517435574
4,0.7375784376834301,0.8273036264358683,0.2858518774621189,0.23888251185417175,0.12173463042756633,0.0002988290331452
5,0.6627257681907491,0.8323984057345288,0.36063131839036944,0.31895627081394196,0.12336039524529005,0.00029817171857837797
6,0.6194478603119545,0.8333709125823163,0.31417271941900254,0.2755577713251114,0.10782978842248087,0.0002973696567332103
7,0.5852235504921447,0.8338620941689674,0.30872125052846966,0.2744583189487457,0.10570559263723989,0.000296423639147904
8,0.5587904985914839,0.837268646727217,0.3590161400381476,0.30671998858451843,0.11504469148981009,0.0002953345994276017
9,0.5005709287968088,0.8346439752172916,0.31492910347878933,0.26335929334163666,0.11825502786429712,0.00029410361232302604
10,0.49098067334357726,0.841016633713499,0.3574636100325733,0.31248804926872253,0.11213547297348131,0.00029273189266983027
11,0.45853096373537755,0.8470061966713439,0.3464935992844403,0.29710516333580017,0.11155741773968693,0.00029122079418970247
12,0.45131155024183556,0.8463190007717052,0.3250867668073624,0.27724601328372955,0.11143261254987101,0.0002895718081544053
13,0.43202913568374957,0.8437989417542803,0.3833442010451108,0.3456090986728668,0.11804580021781341,0.00028778656191407115
14,0.4292699250769108,0.8442510937122588,0.3749752343632281,0.33178073167800903,0.11456599627179025,0.0002858668172912039
15,0.40834372347973763,0.8500328140055879,0.41304631461389363,0.3754545748233795,0.10290653603639441,0.00028381446884197264
16,0.3959035036411691,0.8458186476788623,0.346830438869074,0.29897162318229675,0.11483520618377417,0.00028163154198651373
17,0.40197775465376834,0.8561042116043416,0.4213921234942973,0.385333389043808,0.10021282051082459,0.0002793201910100856
18,0.37325327700756966,0.8532061018842332,0.38550572213716805,0.3463175296783447,0.112290224986097,0.00027688269693704925
19,0.3618121350065191,0.8532108271375616,0.35692405146546663,0.3090742826461792,0.11102943331601951,0.00027432146527977245
20,0.35361116236828743,0.8582771268296749,0.3874296102207154,0.34466224908828735,0.11886444633059669,0.0002716390236646797
21,0.3399667587686092,0.8578184107516674,0.4351462178863585,0.40654101967811584,0.10871767652349928,0.00026883801933779
22,0.3575888922873964,0.8613522953175484,0.41050143605098127,0.37336188554763794,0.10670793241911801,0.0002659212165522047
23,0.3324798751384654,0.8645714128271063,0.4231283036991954,0.3809701204299927,0.10315148663770951,0.0002628914938401232
24,0.33533619312529866,0.8589603507772405,0.4420790296047926,0.40408727526664734,0.10755298350701585,0.0002597518411720796
25,0.3136718019526056,0.8632222249152812,0.4380711168982089,0.40508198738098145,0.10536594779096632,0.0002565053570062023
26,0.3119513531948658,0.8660685939991728,0.4186213090084493,0.37499676644802094,0.11112075554189323,0.0002531552452304103
27,0.31269031889895177,0.8661647667276099,0.42195560610853133,0.3804819732904434,0.10745328704151771,0.00024970481200056234
28,0.31831384719686306,0.8649917384411426,0.39347378606908023,0.35171782970428467,0.10491446524757807,0.00024615746247768044
29,0.2994371297511649,0.8677179838748689,0.47781381430104375,0.4459254890680313,0.09406975693421875,0.00024251669746746705
30,0.2833724174093693,0.8682366799800953,0.47747781593352556,0.44821758568286896,0.09864838040666868,0.00023878610996543232
31,0.29309947186327995,0.8733912719056961,0.4602790270932019,0.42162223160266876,0.10497715914020997,0.00023496938161104145
32,0.28494083120467817,0.8744571208953857,0.5274223648011684,0.500383734703064,0.08640029542983348,0.00023107027905438102
33,0.2899610438245408,0.8767260693489237,0.5078473998233676,0.48113539814949036,0.09327664102855426,0.0002270926502389302
34,0.29359149679224544,0.8761090699662554,0.48209702167659996,0.4461001306772232,0.09906457972626449,0.00022304042060410477
35,0.280430129233827,0.8778492706887265,0.46838542344048617,0.434907466173172,0.09913343265189388,0.00021891758921132275
36,0.2741584042285351,0.8775963263308748,0.4853777350857854,0.45611342787742615,0.09208640268599684,0.00021472822479741334
37,0.27421073203391216,0.8803058139821316,0.483818724937737,0.452338308095932,0.09287946617604932,0.00021047646175926496
38,0.26314822156378564,0.8781150148269978,0.463735615555197,0.424693301320076,0.10659686212383512,0.00020616649607367476
39,0.26203410422548334,0.8803246579271682,0.4552248362451792,0.4189303517341614,0.09626877076642146,0.00020180258115642586
40,0.26278483106734907,0.8843414542522836,0.530045823007822,0.503181517124176,0.09233791592699371,0.00019738902366467977
41,0.25244834067973687,0.8815976191074291,0.5089297568425536,0.479054257273674,0.0901291721087872,0.00019293017924682565
42,0.25452669630659386,0.8843908652346185,0.5046951633878052,0.4696981757879257,0.09436119917641515,0.00018843044824398098
43,0.23887805482174487,0.8842139383579822,0.5318051371723413,0.5068117380142212,0.08393943036026832,0.00018389427134738666
44,0.25306650171888634,0.8842709343484108,0.5235647871159017,0.49936267733573914,0.08520710648433637,0.00017932612521598021
45,0.24308745658144038,0.884786087147733,0.5011213741265237,0.46632373332977295,0.09726189797781898,0.00017473051805847438
46,0.24832516274553665,0.88356662177025,0.5398334211669862,0.5141324996948242,0.08986626317878164,0.0001701119851842993
47,0.23543184868832853,0.8843082557333276,0.5115016079507768,0.4753555506467819,0.09647235772026544,0.00016547508452779944
48,0.23141994374863645,0.885912779797899,0.5544179911725223,0.5343079566955566,0.084293030199841,0.0001608243921501031
49,0.23440897718388984,0.8860508901007632,0.5247028021141886,0.49496883153915405,0.09233225584202175,0.0001561644977231021
50,0.223387193172536,0.8866648991057213,0.5083520577289165,0.4734572768211365,0.09480397123073113,0.00015150000000000005
51,0.23600925029592312,0.8902962588249369,0.5593106026761234,0.5388269424438477,0.08430635905750089,0.000146835502276898
52,0.24138809264974392,0.8912095123148979,0.5459004076197743,0.5210449397563934,0.08503631411654781,0.00014217560784989702
53,0.22522931149665346,0.888794834309436,0.5583251127973199,0.5377225279808044,0.08223229159272498,0.00013752491547220066
54,0.22334879763582918,0.8876569334496843,0.489965851791203,0.4582233726978302,0.09134845445956255,0.00013288801481570086
55,0.22968738637071975,0.8890362914572371,0.5119419294409454,0.48087330162525177,0.09323526727949864,0.00012826948194152575
56,0.22996316818480797,0.8923513343993653,0.515606599021703,0.48839493095874786,0.08348245175851396,0.00012367387478401994
