epoch,lr,train_loss,train_auc,val_loss,val_pair_auc,val_patient_auc_max,val_patient_auc_mean
1,0.0003,0.6728888240299726,0.619335880105789,0.5762063275303757,0.7771634615384615,0.6783854166666666,0.5690104166666666
2,0.0003,0.621893061357632,0.6670290919776668,0.5385795685282925,0.7978365384615385,0.6875,0.64453125
3,0.0003,0.6065699648961687,0.680267411107846,0.626451661712245,0.7757211538461538,0.66015625,0.6315104166666666
4,0.0003,0.6116916725510045,0.688642374375551,0.5762330607364052,0.7100961538461539,0.60546875,0.5690104166666666
5,0.0003,0.6111253899963278,0.6915368792242139,0.5526766902522037,0.7814903846153847,0.6979166666666666,0.5598958333333334
6,0.0003,0.6186209402063436,0.677769615045548,0.5886172641787613,0.7129807692307693,0.5872395833333334,0.5533854166666666
7,0.0003,0.6067561750349245,0.674022920952101,0.5559195949320208,0.7466346153846154,0.6315104166666666,0.5494791666666666
8,0.0003,0.6026483327150345,0.6645606817513958,0.5573439483056989,0.7764423076923077,0.7044270833333334,0.5755208333333334
9,0.0003,0.5826271333192524,0.7237584484278577,0.5391418369192826,0.7786057692307692,0.6940104166666666,0.6184895833333334
10,0.0003,0.5962112728963819,0.6995298266235674,0.5441939475243551,0.7668269230769231,0.6653645833333334,0.5950520833333334
11,0.0003,0.5894390849167841,0.7183367616808698,0.5728798058995029,0.7466346153846154,0.6705729166666666,0.6041666666666666
12,0.0003,0.5908330752138506,0.7154275639141934,0.57661225293812,0.7675480769230769,0.69140625,0.6145833333333334
13,0.0003,0.5903243636875822,0.7083896561857185,0.5695936533442715,0.7396634615384615,0.6536458333333334,0.5768229166666666
14,0.0003,0.5916948396908609,0.7022039377020276,0.5795680964202211,0.684375,0.5690104166666666,0.45703125
15,0.0003,0.5824421889949263,0.716441375257126,0.5813435232430174,0.7108173076923077,0.61328125,0.5221354166666666
16,0.0003,0.5887936026903621,0.70584778136938,0.5709228641108463,0.7288461538461538,0.62109375,0.4986979166666667
17,0.0003,0.6123754999093842,0.6886276814575375,0.5715402291532148,0.7391826923076923,0.6263020833333334,0.5924479166666666
18,0.0003,0.589913997995226,0.7210549515133705,0.6559479011778246,0.75,0.62890625,0.5442708333333334
19,0.0003,0.5942700405915579,0.7036144578313253,0.5828204520961695,0.6961538461538461,0.59765625,0.52734375
20,0.0003,0.5791566126179277,0.7185277696150455,0.6112268441601804,0.6415865384615385,0.5260416666666666,0.4544270833333333
