run_dir,label_fraction,ssl_method,seed,best_epoch,val_patient_auc_max,val_pair_auc
/Users/dylanashraf/Documents/Programming/diagnostic_system_regeneron/regeneron_schistosomiasis_project/runs/ssl/finetune/20260409_164040_finetune_ssl_simclr_ft_bf_0p10_s1,0.1,simclr,1,17,0.6066017316017316,0.5784474287585981
/Users/dylanashraf/Documents/Programming/diagnostic_system_regeneron/regeneron_schistosomiasis_project/runs/ssl/finetune/20260409_164040_finetune_ssl_simclr_ft_bf_0p10_s2,0.1,simclr,2,7,0.7164502164502164,0.614723223059286
/Users/dylanashraf/Documents/Programming/diagnostic_system_regeneron/regeneron_schistosomiasis_project/runs/ssl/finetune/20260408_102901_finetune_ssl_ssl_ft_bf_0p10,0.1,simclr,42,1,0.6158008658008658,0.5750900753357353
/Users/dylanashraf/Documents/Programming/diagnostic_system_regeneron/regeneron_schistosomiasis_project/runs/ssl/finetune/20260409_164040_finetune_ssl_simclr_ft_bf_0p25_s1,0.25,simclr,1,18,0.5806277056277056,0.5443006878480183
/Users/dylanashraf/Documents/Programming/diagnostic_system_regeneron/regeneron_schistosomiasis_project/runs/ssl/finetune/20260409_164040_finetune_ssl_simclr_ft_bf_0p25_s2,0.25,simclr,2,20,0.5882034632034632,0.6161971830985915
/Users/dylanashraf/Documents/Programming/diagnostic_system_regeneron/regeneron_schistosomiasis_project/runs/ssl/finetune/20260408_102901_finetune_ssl_ssl_ft_bf_0p25,0.25,simclr,42,4,0.6444805194805194,0.5904028824107436
/Users/dylanashraf/Documents/Programming/diagnostic_system_regeneron/regeneron_schistosomiasis_project/runs/ssl/finetune/20260409_164040_finetune_ssl_simclr_ft_bf_0p50_s1,0.5,simclr,1,16,0.6028138528138528,0.5953160825417622
/Users/dylanashraf/Documents/Programming/diagnostic_system_regeneron/regeneron_schistosomiasis_project/runs/ssl/finetune/20260409_164040_finetune_ssl_simclr_ft_bf_0p50_s2,0.5,simclr,2,2,0.6558441558441559,0.6321650835244023
/Users/dylanashraf/Documents/Programming/diagnostic_system_regeneron/regeneron_schistosomiasis_project/runs/ssl/finetune/20260408_102901_finetune_ssl_ssl_ft_bf_0p50,0.5,simclr,42,19,0.6801948051948052,0.6611529642974123
/Users/dylanashraf/Documents/Programming/diagnostic_system_regeneron/regeneron_schistosomiasis_project/runs/ssl/finetune/20260409_164040_finetune_ssl_simclr_ft_bf_1p00_s1,1.0,simclr,1,11,0.6661255411255411,0.6511627906976745
/Users/dylanashraf/Documents/Programming/diagnostic_system_regeneron/regeneron_schistosomiasis_project/runs/ssl/finetune/20260409_164040_finetune_ssl_simclr_ft_bf_1p00_s2,1.0,simclr,2,14,0.7142857142857143,0.7197838191942352
/Users/dylanashraf/Documents/Programming/diagnostic_system_regeneron/regeneron_schistosomiasis_project/runs/ssl/finetune/20260408_102901_finetune_ssl_ssl_ft_bf_1p00,1.0,simclr,42,18,0.6737012987012987,0.6727808712741565
