epoch,lr,train_loss,train_auc,val_loss,val_pair_auc,val_patient_auc_max,val_patient_auc_mean
1,0.0003,0.7256998685450335,0.5539673642252118,0.7279070642198627,0.5649361283982968,0.5481601731601732,0.5357142857142857
2,0.0003,0.7092468980870216,0.5607911372695565,0.7337613985261421,0.5962168358991157,0.5654761904761905,0.5611471861471862
3,0.0003,0.6985777455217698,0.5880005916791231,0.7244798443550728,0.5557648214870619,0.5075757575757576,0.5156926406926406
4,0.0003,0.702057557480008,0.5707290109616343,0.7136208116096823,0.5980183426138225,0.560064935064935,0.5735930735930735
5,0.0003,0.7032357962302912,0.5659449738415545,0.7023648081022665,0.6254503766786768,0.6136363636363636,0.6244588744588745
6,0.0003,0.6959226005996754,0.5955639636273045,0.7115557989396086,0.6425646904683917,0.6417748917748918,0.6190476190476191
7,0.0003,0.6941505288376527,0.5991685351270553,0.7037361552226798,0.6029315427448412,0.5957792207792207,0.6093073593073594
8,0.0003,0.6939291080618216,0.5998224962630793,0.6906647381432559,0.6504258106780216,0.6179653679653679,0.6206709956709957
9,0.0003,0.6913221186282588,0.6041082772795217,0.710981359813556,0.6487880773010154,0.6093073593073594,0.5984848484848485
10,0.0003,0.6908301090103349,0.6143342052815147,0.6918083617993451,0.6480510972813626,0.6255411255411255,0.6130952380952381
11,0.0003,0.6981619163276324,0.5901863010712506,0.7346344279860137,0.6041598427775958,0.564935064935065,0.560064935064935
12,0.0003,0.6972406364733876,0.5943767127553563,0.7010906683195621,0.6195545365214543,0.6152597402597403,0.6087662337662337
13,0.0003,0.6906999083126293,0.6134272234678625,0.6958108985460497,0.6283982967572879,0.5968614718614719,0.591991341991342
14,0.0003,0.6810845708535388,0.6380636522172397,0.6914073313594958,0.6392892237143794,0.6212121212121212,0.6358225108225108
15,0.0003,0.6929960905726439,0.5991802130044843,0.6821722169534876,0.6708974778905994,0.6282467532467533,0.6179653679653679
16,0.0003,0.6866769945699405,0.6160430680119582,0.7059816097447632,0.607107762856207,0.5611471861471862,0.5654761904761905
17,0.0003,0.6918268119587617,0.6071873442949676,0.6932968696869841,0.6573042908614477,0.5936147186147186,0.5974025974025974
18,0.0003,0.6839868206603854,0.6287524912805181,0.6940876152537284,0.65001637733377,0.5952380952380952,0.6114718614718615
19,0.0003,0.6895161863245995,0.6071328475336323,0.711093509142552,0.5981002292826728,0.564935064935065,0.5692640692640693
20,0.0003,0.6813002994637084,0.6349261958146487,0.7030927390315846,0.6302816901408451,0.5714285714285714,0.5903679653679653
