epoch,lr,train_loss,train_auc,val_loss,val_pair_auc,val_patient_auc_max,val_patient_auc_mean
1,0.0003,0.6608722489653972,0.6392300910960916,0.609660173717298,0.753125,0.640625,0.4674479166666667
2,0.0003,0.624280164639155,0.6702174551866,0.5727199692475168,0.7853365384615385,0.67578125,0.6145833333333334
3,0.0003,0.609208837935799,0.6790772847487511,0.649091010553795,0.7262019230769231,0.6484375,0.58203125
4,0.0003,0.6201193492140686,0.6760064648839259,0.6009027937002349,0.6716346153846153,0.5729166666666666,0.4934895833333333
5,0.0003,0.6068924775249079,0.6940346752865119,0.5567417918590077,0.7658653846153847,0.6966145833333334,0.56640625
6,0.0003,0.62495419853612,0.6635468704084632,0.5832073144745409,0.7211538461538461,0.6158854166666666,0.5677083333333334
7,0.0003,0.610545152634905,0.6630620041140171,0.5745783835126642,0.7125,0.6106770833333334,0.5052083333333334
8,0.0003,0.6046933628488005,0.6614310902145166,0.576992130070402,0.7485576923076923,0.6497395833333334,0.5364583333333334
9,0.0003,0.5894171943267187,0.7142668233911255,0.5469500537504229,0.7711538461538462,0.6770833333333334,0.61328125
10,0.0003,0.5993190426052663,0.6950778724654716,0.5482256862155178,0.7651442307692308,0.6731770833333334,0.6041666666666666
11,0.0003,0.5958552718685385,0.7118131060828681,0.575338670036249,0.76875,0.6666666666666666,0.5598958333333334
12,0.0003,0.5928622748245272,0.7107992947399353,0.5743869710386845,0.7403846153846154,0.6315104166666666,0.5807291666666666
13,0.0003,0.5973074789109983,0.6936232735821334,0.5659681474953367,0.7411057692307692,0.6458333333333334,0.578125
14,0.0003,0.6000009231400072,0.6882015868351454,0.5799606913014462,0.6884615384615385,0.5729166666666666,0.4713541666666667
15,0.0003,0.5854856745715726,0.7127240669997061,0.5785959404811525,0.6961538461538461,0.58984375,0.4908854166666667
16,0.0003,0.5951951493819555,0.7001616220981487,0.5617698263703731,0.7401442307692307,0.6354166666666666,0.5234375
17,0.0003,0.6179921762985096,0.6818689391713194,0.5612488964147735,0.7512019230769231,0.6393229166666666,0.5885416666666666
18,0.0003,0.5946083421769895,0.7084190420217455,0.5714947152556035,0.7079326923076923,0.6028645833333334,0.515625
19,0.0003,0.6034866770108541,0.6959888333823098,0.5823768168164972,0.6944711538461539,0.5989583333333334,0.5286458333333334
20,0.0003,0.5912960119414747,0.6978842198060535,0.6254568946988959,0.6211538461538462,0.484375,0.4348958333333333
