threshold,df_fraction,patient_auc,sensitivity_at_spec0p8,threshold_for_spec0p8,sensitivity_at_spec0p85,threshold_for_spec0p85,sensitivity_at_spec0p9,threshold_for_spec0p9
0.0003554821014404297,0.0,0.5552234927234927,0.25,0.53,0.15384615384615385,0.5750000000000001,0.07692307692307693,0.68
0.005336815416812897,0.013333333333333332,0.5444386694386695,0.25,0.53,0.15384615384615385,0.5750000000000001,0.07692307692307693,0.68
0.010318148732185364,0.026666666666666665,0.5383316008316008,0.25,0.53,0.15384615384615385,0.5750000000000001,0.07692307692307693,0.68
0.01529948204755783,0.04166666666666666,0.5382016632016632,0.25,0.53,0.15384615384615385,0.5750000000000001,0.07692307692307693,0.68
0.020280815362930298,0.04833333333333333,0.5367723492723493,0.25,0.53,0.15384615384615385,0.5750000000000001,0.07692307692307693,0.68
0.025262148678302766,0.06499999999999999,0.536512474012474,0.25,0.53,0.15384615384615385,0.5750000000000001,0.07692307692307693,0.68
0.03024348199367523,0.07666666666666666,0.5428794178794178,0.25,0.515,0.15384615384615385,0.5750000000000001,0.07692307692307693,0.68
0.0352248153090477,0.09333333333333332,0.5428794178794178,0.21153846153846154,0.5,0.15384615384615385,0.5750000000000001,0.07692307692307693,0.68
0.040206148624420165,0.11166666666666666,0.5433991683991684,0.19230769230769232,0.5,0.15384615384615385,0.5750000000000001,0.07692307692307693,0.68
0.045187481939792634,0.11666666666666665,0.5457380457380457,0.19230769230769232,0.5,0.15384615384615385,0.5750000000000001,0.07692307692307693,0.68
0.0501688152551651,0.13166666666666665,0.5472972972972973,0.15384615384615385,0.49,0.15384615384615385,0.5750000000000001,0.07692307692307693,0.68
0.055150148570537565,0.13499999999999998,0.5504158004158004,0.15384615384615385,0.49,0.15384615384615385,0.5750000000000001,0.07692307692307693,0.68
0.06013148188591003,0.15499999999999997,0.5575623700623701,0.15384615384615385,0.49,0.15384615384615385,0.5750000000000001,0.07692307692307693,0.68
0.0651128152012825,0.17,0.5726351351351351,0.19230769230769232,0.47500000000000003,0.15384615384615385,0.5750000000000001,0.07692307692307693,0.68
0.07009414851665496,0.18166666666666664,0.5731548856548857,0.19230769230769232,0.47500000000000003,0.15384615384615385,0.5750000000000001,0.07692307692307693,0.68
0.07507548183202743,0.19666666666666666,0.5623700623700624,0.19230769230769232,0.47500000000000003,0.15384615384615385,0.535,0.07692307692307693,0.68
