epoch,loss,auc,val_pair_auc,val_patient_auc_max
1,0.6790779848164374,0.6094396259028335,0.6991483786439567,0.698051948051948
2,0.6706686080960323,0.6933838508549911,0.7407468064199149,0.6417748917748918
3,0.6139593739575202,0.7766413050188283,0.7585981002292826,0.7272727272727273
4,0.722586821252053,0.8430497252916846,0.7066819521781854,0.6504329004329005
5,0.6417545753699194,0.8676808753626767,0.7901244677366525,0.7440476190476191
6,0.7286128622083854,0.8973200506204086,0.7646577137242057,0.7310606060606061
7,0.6738977591743528,0.9168119945675659,0.8157549950867998,0.7792207792207793
8,0.6645972631210946,0.9525163590345083,0.8092859482476253,0.8073593073593074
9,0.7785275981331455,0.9656961849496882,0.7819358008516214,0.7938311688311688
10,0.6937647349790695,0.9840885239829619,0.8231247952833278,0.7656926406926406
11,0.7382330632902431,0.9835483671831594,0.7970848345889289,0.783008658008658
12,0.9576167679286423,0.9888033211926662,0.78684900098264,0.7851731601731602
13,0.9614313803499263,0.9943090622877956,0.7815263675073698,0.7808441558441559
14,1.0078917686921467,0.9986650410519168,0.7717818539141827,0.7840909090909091
15,0.790533917668398,0.993525834928082,0.8284474287585981,0.8062770562770563
16,1.099995611639927,0.9952890610531514,0.7861939076318375,0.8008658008658008
17,1.0424791741261787,0.9982483486634978,0.7917622011136587,0.7824675324675324
18,1.047417840826402,0.9991087412803259,0.7939731411726171,0.7954545454545454
19,1.0476410811715717,0.9994135440459287,0.796593514575827,0.7943722943722944
20,1.0422139592263677,0.9988386628804247,0.8003603013429413,0.7943722943722944
