image_id,image_name,study_id,patient_id,patient_key,pair_key,frame_num,contrast,relative_path,file_exists,load_success,error_message,blur_score,brightness_mean,brightness_std,intensity_min,intensity_max,contrast_std,edge_density,width,height
img_67ff58e6b782,mar2020_004_0_0.jpg,mar2020,004,mar2020_004,mar2020_004_0,0,brightfield,mar2020/mar2020_images/mar2020_004_0_0.jpg,True,True,,22.00367546081543,30.98061752319336,37.95393753051758,0.0,255.0,4.540018081665039,0.05583134403935185,4032,3024
img_eba9d900c1c5,mar2020_004_0_2.jpg,mar2020,004,mar2020_004,mar2020_004_0,0,darkfield,mar2020/mar2020_images/mar2020_004_0_2.jpg,True,True,,15.779667854309082,153.25067138671875,53.388790130615234,0.0,246.0,3.486469030380249,0.10725911458333333,4032,3024
img_6551fa71da82,mar2020_004_1_0.jpg,mar2020,004,mar2020_004,mar2020_004_1,1,brightfield,mar2020/mar2020_images/mar2020_004_1_0.jpg,True,True,,61.45857620239258,19.799009323120117,14.361523628234863,1.0,253.0,6.290860176086426,0.037556966145833336,4032,3024
img_73dbc045ad48,mar2020_004_1_2.jpg,mar2020,004,mar2020_004,mar2020_004_1,1,darkfield,mar2020/mar2020_images/mar2020_004_1_2.jpg,True,True,,71.33766174316406,162.80685424804688,50.26477813720703,0.0,240.0,6.27197265625,0.07926658347800926,4032,3024
img_1ff5f3d801f6,mar2020_004_2_0.jpg,mar2020,004,mar2020_004,mar2020_004_2,2,brightfield,mar2020/mar2020_images/mar2020_004_2_0.jpg,True,True,,22.55769920349121,25.972946166992188,13.21696949005127,0.0,254.0,4.185124397277832,0.026884856047453703,4032,3024
img_c524422202c1,mar2020_004_2_2.jpg,mar2020,004,mar2020_004,mar2020_004_2,2,darkfield,mar2020/mar2020_images/mar2020_004_2_2.jpg,True,True,,46.71486282348633,160.7945098876953,51.18246841430664,0.0,239.0,6.177278518676758,0.07251428674768519,4032,3024
img_1c4a8f094b13,mar2020_005_0_0.jpg,mar2020,005,mar2020_005,mar2020_005_0,0,brightfield,mar2020/mar2020_images/mar2020_005_0_0.jpg,True,True,,46.15387725830078,43.921260833740234,48.55689239501953,3.0,255.0,4.99776554107666,0.052379466869212965,4032,3024
img_4ca207e08338,mar2020_005_0_2.jpg,mar2020,005,mar2020_005,mar2020_005_0,0,darkfield,mar2020/mar2020_images/mar2020_005_0_2.jpg,True,True,,99.10192108154297,147.4287109375,56.18759536743164,4.0,241.0,7.4253082275390625,0.1160594798900463,4032,3024
img_9db74205addd,mar2020_005_1_0.jpg,mar2020,005,mar2020_005,mar2020_005_1,1,brightfield,mar2020/mar2020_images/mar2020_005_1_0.jpg,True,True,,45.238033294677734,19.648378372192383,10.024581909179688,2.0,254.0,4.997798442840576,0.02466950593171296,4032,3024
img_a1c1af566a71,mar2020_005_1_2.jpg,mar2020,005,mar2020_005,mar2020_005_1,1,darkfield,mar2020/mar2020_images/mar2020_005_1_2.jpg,True,True,,73.32554626464844,152.74160766601562,50.58564376831055,11.0,231.0,6.015078544616699,0.11207411024305555,4032,3024
img_0afd28a7910d,mar2020_005_2_0.jpg,mar2020,005,mar2020_005,mar2020_005_2,2,brightfield,mar2020/mar2020_images/mar2020_005_2_0.jpg,True,True,,12.671187400817871,21.874425888061523,9.713096618652344,2.0,250.0,3.516561508178711,0.02561668113425926,4032,3024
img_7a831b93b6f5,mar2020_005_2_2.jpg,mar2020,005,mar2020_005,mar2020_005_2,2,darkfield,mar2020/mar2020_images/mar2020_005_2_2.jpg,True,True,,19.552160263061523,152.58258056640625,54.18635940551758,0.0,238.0,3.7827210426330566,0.10821307146990741,4032,3024
img_f3afe863e932,mar2020_006_0_0.jpg,mar2020,006,mar2020_006,mar2020_006_0,0,brightfield,mar2020/mar2020_images/mar2020_006_0_0.jpg,True,True,,33.96879577636719,39.463016510009766,41.78376007080078,0.0,255.0,5.460843563079834,0.05476209852430555,4032,3024
img_bdbce8de82de,mar2020_006_0_2.jpg,mar2020,006,mar2020_006,mar2020_006_0,0,darkfield,mar2020/mar2020_images/mar2020_006_0_2.jpg,True,True,,37.951759338378906,156.77037048339844,49.696449279785156,13.0,243.0,5.495631694793701,0.11942997685185185,4032,3024
img_138222b87f59,mar2020_006_1_0.jpg,mar2020,006,mar2020_006,mar2020_006_1,1,brightfield,mar2020/mar2020_images/mar2020_006_1_0.jpg,True,True,,30.86482810974121,12.064362525939941,6.882801055908203,0.0,252.0,3.8952832221984863,0.02167652271412037,4032,3024
img_e795a1017636,mar2020_006_1_2.jpg,mar2020,006,mar2020_006,mar2020_006_1,1,darkfield,mar2020/mar2020_images/mar2020_006_1_2.jpg,True,True,,53.48566818237305,165.18890380859375,48.08077621459961,0.0,240.0,5.372825622558594,0.08854392722800926,4032,3024
img_18ca316bff50,mar2020_006_2_0.jpg,mar2020,006,mar2020_006,mar2020_006_2,2,brightfield,mar2020/mar2020_images/mar2020_006_2_0.jpg,True,True,,10.572546005249023,15.695470809936523,9.677485466003418,0.0,255.0,3.266235828399658,0.021396213107638888,4032,3024
img_828fb96b4c73,mar2020_006_2_2.jpg,mar2020,006,mar2020_006,mar2020_006_2,2,darkfield,mar2020/mar2020_images/mar2020_006_2_2.jpg,True,True,,18.13819694519043,163.51876831054688,51.897430419921875,0.0,246.0,3.9355812072753906,0.08696605541087964,4032,3024
img_fdd93c4fc19f,mar2020_007_0_0.jpg,mar2020,007,mar2020_007,mar2020_007_0,0,brightfield,mar2020/mar2020_images/mar2020_007_0_0.jpg,True,True,,85.10957336425781,61.50007247924805,56.21352005004883,5.0,255.0,6.1338372230529785,0.06848370587384259,4032,3024
img_e428d4a89a0b,mar2020_007_0_2.jpg,mar2020,007,mar2020_007,mar2020_007_0,0,darkfield,mar2020/mar2020_images/mar2020_007_0_2.jpg,True,True,,82.40955352783203,149.2723388671875,55.87862014770508,19.0,238.0,6.389466762542725,0.12547245732060186,4032,3024
img_2028c61cae58,mar2020_007_1_0.jpg,mar2020,007,mar2020_007,mar2020_007_1,1,brightfield,mar2020/mar2020_images/mar2020_007_1_0.jpg,True,True,,35.87287139892578,44.07365036010742,16.265390396118164,5.0,227.0,3.7349324226379395,0.034627278645833336,4032,3024
