path,record_type,issue,details
mar2020/mar2020_images/mar2020_005_2_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_005_2_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_005_2_2.jpg
mar2020/mar2020_images/mar2020_006_0_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_006_0_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_006_0_0.jpg
mar2020/mar2020_images/mar2020_006_0_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_006_0_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_006_0_2.jpg
mar2020/mar2020_images/mar2020_006_1_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_006_1_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_006_1_0.jpg
mar2020/mar2020_images/mar2020_006_1_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_006_1_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_006_1_2.jpg
mar2020/mar2020_images/mar2020_006_2_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_006_2_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_006_2_0.jpg
mar2020/mar2020_images/mar2020_006_2_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_006_2_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_006_2_2.jpg
mar2020/mar2020_images/mar2020_007_0_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_007_0_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_007_0_0.jpg
mar2020/mar2020_images/mar2020_007_0_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_007_0_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_007_0_2.jpg
mar2020/mar2020_images/mar2020_007_1_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_007_1_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_007_1_0.jpg
mar2020/mar2020_images/mar2020_007_1_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_007_1_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_007_1_2.jpg
mar2020/mar2020_images/mar2020_007_2_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_007_2_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_007_2_0.jpg
mar2020/mar2020_images/mar2020_007_2_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_007_2_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_007_2_2.jpg
mar2020/mar2020_images/mar2020_008_0_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_008_0_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_008_0_0.jpg
mar2020/mar2020_images/mar2020_008_0_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_008_0_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_008_0_2.jpg
mar2020/mar2020_images/mar2020_008_1_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_008_1_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_008_1_0.jpg
