epoch,train_loss,train_auc,val_loss,val_pair_auc,val_patient_auc_max,val_patient_auc_mean
1,0.7372854923208555,0.6526347305389222,0.7981409456478347,0.501310186701605,0.4713203463203463,0.4621212121212121
2,0.7231893527011076,0.644251497005988,0.8130672987356827,0.5125286603340976,0.48484848484848486,0.4832251082251082
3,0.6800977004071077,0.6732335329341317,0.8056235494781342,0.5403701277432034,0.4989177489177489,0.5178571428571429
4,0.665783396611611,0.6798203592814371,0.797811448391789,0.5286603340976089,0.4945887445887446,0.5048701298701299
5,0.6518198400735855,0.6906586826347305,0.7589949203558289,0.5486406812970849,0.5059523809523809,0.5173160173160173
6,0.6525018668423096,0.6930538922155689,0.7267182547747177,0.5679659351457582,0.5481601731601732,0.5248917748917749
7,0.6420197933912277,0.7150299401197605,0.8483028029994498,0.5149033737307567,0.49134199134199136,0.4778138528138528
8,0.6605877031882604,0.6864071856287425,0.7014782642917167,0.633147723550606,0.6228354978354979,0.6082251082251082
9,0.6563611502448717,0.677245508982036,0.7742882421986408,0.5388142810350475,0.5,0.5081168831168831
10,0.6416311040520668,0.7082634730538923,0.738718849712191,0.5764002620373403,0.5216450216450217,0.5319264069264069
11,0.6330371734996637,0.7168862275449102,0.754265992193047,0.55527350147396,0.5156926406926406,0.5221861471861472
12,0.633241567760706,0.7132934131736527,0.7784187896262615,0.5521618080576483,0.5205627705627706,0.5097402597402597
13,0.6568319462239742,0.692874251497006,0.7882284495626385,0.544464461185719,0.49837662337662336,0.5005411255411255
14,0.6300001728037993,0.7195808383233533,0.7409730877169046,0.5550278414674091,0.5070346320346321,0.5124458874458875
15,0.6408297121524811,0.7035928143712575,0.8724643190701803,0.5406976744186046,0.47619047619047616,0.49945887445887444
16,0.632088360687097,0.7215568862275449,0.7804455830963379,0.5346380609236816,0.4875541125541126,0.5037878787878788
17,0.610650730629762,0.754311377245509,0.7317245744783943,0.5774647887323944,0.5156926406926406,0.5221861471861472
18,0.6281435700754324,0.7172455089820359,0.7521143442173617,0.5910579757615461,0.6363636363636364,0.5698051948051948
19,0.6149665663639704,0.745688622754491,1.0557983399166608,0.5235833606288897,0.46645021645021645,0.48214285714285715
20,0.6276584081351757,0.7208383233532935,0.7717840278731938,0.5304618408123157,0.48593073593073594,0.4778138528138528
