epoch,loss,auc,val_pair_auc,val_patient_auc_max
1,0.6573840649029531,0.6262269275881227,0.7337045528987881,0.6764069264069265
2,0.7182404388892906,0.7855114513241558,0.6604978709466099,0.6260822510822511
3,0.6970977304725472,0.8484165689240076,0.6938257451686866,0.7023809523809523
4,0.7450218701034511,0.9083894067535033,0.7215034392400917,0.6964285714285714
5,0.8521105246988641,0.9390085807765911,0.6772846380609236,0.696969696969697
6,0.9054100545812455,0.9680227174516945,0.7103668522764494,0.7023809523809523
7,0.8902807987155535,0.9700212976109637,0.6943989518506387,0.7467532467532467
8,0.9837842753174109,0.982749706772023,0.706845725515886,0.7694805194805194
9,0.9940271261817454,0.9871597012161244,0.7273992793973141,0.7321428571428571
10,0.9995209622091474,0.9911722945860856,0.7188830658368818,0.7294372294372294
11,1.251516625968688,0.9959179578986357,0.6725352112676056,0.7251082251082251
12,1.1624522344963995,0.9954896907216495,0.696855551916148,0.7261904761904762
13,1.253853733021914,0.9977583492808199,0.7036521454307239,0.7288961038961039
14,1.2297439159660255,0.9987962219890116,0.7022600720602686,0.7927489177489178
15,1.2728571625602993,0.9925921353169949,0.6967736652472978,0.783008658008658
16,1.184541716089398,0.9980052781035866,0.715525712414019,0.7781385281385281
17,1.201702113226284,0.9992167726402864,0.7084015722240419,0.7797619047619048
18,1.140530962850158,0.9976271683437249,0.723960039305601,0.797077922077922
19,1.201181071408845,0.9988733872461263,0.7245332459875532,0.79004329004329
20,1.2247543713755746,0.9994945675658992,0.7182279724860793,0.7835497835497836
