epoch,train_loss,train_auc,val_loss,val_pair_auc,val_patient_auc_max,val_patient_auc_mean
1,0.4276110875061135,0.5294204658694569,0.35856688460078806,0.5944153291844088,0.6206709956709957,0.6011904761904762
2,0.36085775412765203,0.564843360737419,0.3585142156490857,0.6238126433016705,0.5795454545454546,0.5941558441558441
3,0.3542697691060359,0.5786388266068759,0.3605856900003707,0.5620700949885359,0.5021645021645021,0.5351731601731602
4,0.355643866927016,0.5631228201295466,0.36226728549426485,0.6095643629217163,0.5665584415584416,0.6055194805194806
5,0.3564093961435206,0.5624143622321873,0.35275024854626497,0.6243039633147723,0.6071428571428571,0.6228354978354979
6,0.3517751969153585,0.5960855754857997,0.3743466117194304,0.5880281690140845,0.5156926406926406,0.5606060606060606
7,0.3538264960634942,0.5831542725460886,0.3507925588238859,0.6091549295774648,0.6006493506493507,0.6228354978354979
8,0.353565062981805,0.5811651407573493,0.3494519457813432,0.6457582705535538,0.612012987012987,0.6028138528138528
9,0.35122402957062315,0.5936935569257599,0.3605136592681619,0.657386177530298,0.6212121212121212,0.5974025974025974
10,0.35169225956489836,0.5975842364225212,0.3471036811760806,0.641827710448739,0.6141774891774892,0.6055194805194806
11,0.3531192736688003,0.5865077696811161,0.3516092216567527,0.6284801834261382,0.5914502164502164,0.5865800865800865
12,0.35236742547134947,0.5932206028898854,0.3529457140497476,0.6179168031444481,0.577922077922078,0.5833333333333334
13,0.3512422605667239,0.5916908009466866,0.34554383026532803,0.6495250573206682,0.6060606060606061,0.6066017316017316
14,0.34490225244970885,0.6297256477329347,0.3464257151617552,0.6443661971830986,0.6260822510822511,0.6282467532467533
15,0.35069464217214025,0.5911808669656203,0.3439767524281044,0.6682771044873894,0.6222943722943723,0.6136363636363636
16,0.34909200011904723,0.6054979446935725,0.3508365512441058,0.6323288568621028,0.5887445887445888,0.5827922077922078
17,0.3519056667689405,0.6020529708520179,0.3475724344771207,0.679986898132984,0.6212121212121212,0.6017316017316018
18,0.34963558959025964,0.6050074738415545,0.35238902603449807,0.65263675073698,0.5865800865800865,0.6071428571428571
19,0.35085972865032994,0.5855209890383657,0.3602836372199773,0.6115296429741238,0.5703463203463204,0.5882034632034632
20,0.3464144226772333,0.6208738166417539,0.34494337913457773,0.6624631509990173,0.6179653679653679,0.6141774891774892
