epoch,lr,train_loss,train_auc,val_loss,val_pair_auc,val_patient_auc_max,val_patient_auc_mean
1,0.0003,0.6695274089999957,0.6418679549114332,0.5538471267934431,0.7725961538461539,0.62109375,0.6380208333333334
2,0.0003,0.6377153779175264,0.6570419918246005,0.6047868414929038,0.6867788461538461,0.54296875,0.46875
3,0.0003,0.6120838705891897,0.6902762294066642,0.5968269360692877,0.6882211538461539,0.5859375,0.5130208333333334
4,0.0003,0.6257999834077095,0.6745076179858789,0.5403453780893694,0.8021634615384615,0.7174479166666666,0.65625
5,0.0003,0.6271296002823773,0.6641768859160163,0.5936328057657209,0.6721153846153847,0.5924479166666666,0.49609375
6,0.0003,0.6200587605753689,0.6712126842561625,0.5807502478883978,0.725,0.62890625,0.5885416666666666
7,0.0003,0.6229088958333933,0.6679796853709897,0.5567534325415628,0.7651442307692308,0.640625,0.5963541666666666
8,0.0003,0.6068063618534121,0.6915644741731698,0.6017614707612154,0.675,0.55859375,0.5026041666666666
9,0.0003,0.6205079719167591,0.6553325901151988,0.5679577207356169,0.7759615384615385,0.671875,0.6041666666666666
10,0.0003,0.5999605940709603,0.7037904124860647,0.558945749935351,0.7538461538461538,0.63671875,0.625
11,0.0003,0.6108634279250132,0.6919608571782485,0.6284664372603098,0.7459134615384615,0.6106770833333334,0.5846354166666666
12,0.0003,0.5985563492219378,0.6922705314009662,0.5563931883427135,0.7644230769230769,0.6432291666666666,0.6236979166666666
13,0.0003,0.5987064604701242,0.6973615756224452,0.5538247426350912,0.7418269230769231,0.6471354166666666,0.6067708333333334
14,0.0003,0.593506680433511,0.718456583673975,0.5622858007748922,0.7377403846153846,0.5885416666666666,0.59765625
15,0.0003,0.5899060526155049,0.7319583797844668,0.5429710934036657,0.7730769230769231,0.64453125,0.6302083333333334
16,0.0003,0.6097570017599165,0.7013377926421405,0.5881938882041395,0.6975961538461538,0.5546875,0.5364583333333334
17,0.0003,0.598301909252503,0.7134398612659483,0.6512547856882999,0.7088942307692307,0.5872395833333334,0.5481770833333334
18,0.0003,0.6093027676854815,0.6849993806515545,0.5585176620567054,0.7557692307692307,0.6549479166666666,0.640625
19,0.0003,0.5970466485381005,0.7015731450514059,0.6070791922117534,0.6432692307692308,0.5143229166666666,0.4674479166666667
20,0.0003,0.6101580059274714,0.6883810231636318,0.5580644879424781,0.78125,0.6770833333333334,0.62890625
