epoch,train_loss,train_auc,val_loss,val_pair_auc,val_patient_auc_max,val_patient_auc_mean
1,0.7321153790343041,0.5485215807174888,0.7006397313845631,0.6391254503766787,0.6125541125541125,0.6304112554112554
2,0.6849028348143584,0.6255138266068759,0.6956724301208415,0.6358499836226662,0.6011904761904762,0.612012987012987
3,0.691438216789096,0.617642937219731,0.6869259876760139,0.6718801179168031,0.6271645021645021,0.6277056277056277
4,0.6873277946235308,0.6156401812406577,0.7075732301590275,0.6356862102849656,0.5979437229437229,0.6076839826839827
5,0.6844680807948892,0.6235285874439462,0.6867143357747921,0.6582050442188012,0.604978354978355,0.6130952380952381
6,0.6835329663519766,0.6263935600398605,0.7102707018363731,0.6243039633147723,0.5817099567099567,0.5887445887445888
7,0.679369201262792,0.6361874065769806,0.6948289241903783,0.6839993449066492,0.6493506493506493,0.6607142857142857
8,0.674927703617445,0.6364443198804185,0.6926851654453744,0.6258598100229282,0.5822510822510822,0.5979437229437229
9,0.6791974774373123,0.6291612169905332,0.698009421336906,0.648951850638716,0.6001082251082251,0.6130952380952381
10,0.6680688454434762,0.6555648978574987,0.6923333317132536,0.642892237143793,0.5757575757575758,0.5903679653679653
11,0.6751719274552039,0.6535952291978077,0.6907308310361449,0.6341303635768097,0.6114718614718615,0.6222943722943723
12,0.6759905706433689,0.6333886086198306,0.7057628677161097,0.6070258761873567,0.579004329004329,0.5963203463203464
13,0.6606876745333079,0.6737629235176881,0.6904175917672091,0.6213560432361611,0.5665584415584416,0.5974025974025974
14,0.6700232895371182,0.6503760276532138,0.7171378919017424,0.650507697346872,0.6044372294372294,0.6206709956709957
15,0.6710908571099923,0.653719793223717,0.7256341327767853,0.6225024566000655,0.5925324675324676,0.6011904761904762
16,0.6607152805998434,0.6699306334080718,0.7201948997077592,0.6335571568948575,0.5914502164502164,0.5941558441558441
17,0.6657486709893918,0.6600920216741405,0.7208678847241474,0.562888961677039,0.5005411255411255,0.5286796536796536
18,0.6626005699431974,0.6673790171898356,0.6957959750558987,0.6063707828365542,0.5681818181818182,0.58495670995671
19,0.6614301415050731,0.6709835886895864,0.6829868790206559,0.6567310841794956,0.5946969696969697,0.6195887445887446
20,0.6559821834751204,0.6760790358744395,0.6986111441701195,0.6177530298067475,0.5476190476190477,0.5687229437229437
