epoch,train_loss,train_auc,val_loss,val_pair_auc,val_patient_auc_max,val_patient_auc_mean
1,0.7991788480796066,0.46872454323286394,0.7589091690035041,0.5850802489354733,0.6098484848484849,0.599025974025974
2,0.7281392765200995,0.5788723379494938,0.7108594990286987,0.565263675073698,0.5113636363636364,0.5254329004329005
3,0.7021455195604586,0.6197340858838589,0.6943113149488374,0.6188994431706518,0.6320346320346321,0.6179653679653679
4,0.6971948925965752,0.6299167927382754,0.6923373088195054,0.6113658696364231,0.6612554112554112,0.6482683982683982
5,0.7023768448362163,0.6214069591527988,0.6878054399009145,0.6193907631837536,0.6498917748917749,0.6363636363636364
6,0.6964148519085903,0.6224252298382404,0.6985328603957407,0.5674746151326564,0.5735930735930735,0.5692640692640693
7,0.7011336580600613,0.6330297916909112,0.6920447238359247,0.6041598427775958,0.5795454545454546,0.6266233766233766
8,0.699749941763535,0.6256982427557314,0.7065924361393722,0.6274975433999345,0.5936147186147186,0.591991341991342
9,0.6845407143137814,0.6591557081345281,0.6787643695096357,0.6457582705535538,0.6352813852813853,0.6309523809523809
10,0.6865186230029935,0.6523332945420691,0.7080841274071906,0.5795938421225024,0.5514069264069265,0.545995670995671
11,0.6813369516453712,0.658602932619574,0.6911098721924178,0.6297084834588929,0.6244588744588745,0.6525974025974026
12,0.6964170962766885,0.6280257186081695,0.7022839621028404,0.6189813298395022,0.6547619047619048,0.6525974025974026
13,0.68468936759662,0.6601157919236588,0.7480406017478453,0.6270062233868327,0.6017316017316018,0.604978354978355
14,0.6593012972594866,0.7047596881182357,0.6944070170414193,0.6317556501801507,0.6352813852813853,0.6293290043290043
15,0.6706067267586203,0.675855347375771,0.7194918844313432,0.6338028169014085,0.6277056277056277,0.6287878787878788
16,0.6720091120479933,0.679739322704527,0.6788743348843461,0.6474778905994104,0.6704545454545454,0.6693722943722944
17,0.6872095453193764,0.6395030839055045,0.6842175551693009,0.6163609564362922,0.6006493506493507,0.5833333333333334
18,0.6789462634161407,0.6623850808797859,0.6834833063299138,0.6490337373075663,0.6412337662337663,0.6417748917748918
19,0.6669689233006995,0.681674037006866,0.6746772246987812,0.6572224041925975,0.6764069264069265,0.6872294372294372
20,0.6583545758054148,0.7072035377632957,0.7631142928695095,0.5953160825417622,0.637987012987013,0.6038961038961039
