epoch,lr,train_loss,train_auc,val_loss,val_pair_auc,val_patient_auc_max,val_patient_auc_mean
1,0.00019999999999999998,0.7883980743246141,0.4736982221124761,0.7727735705149648,0.5864723223059286,0.5183982683982684,0.5384199134199135
2,0.0003,0.7444819633477654,0.49428205444780543,0.7278594897792244,0.6050605961349492,0.5665584415584416,0.5254329004329005
3,0.0003,0.7173822241670945,0.5305227174516945,0.7170253575577283,0.59998362266623,0.58495670995671,0.54004329004329
4,0.00029744596495258525,0.7205484552321091,0.48516883758256685,0.7171807299148781,0.6029315427448412,0.5952380952380952,0.5443722943722944
5,0.0002898708344106533,0.7160217234511781,0.5057796777578862,0.7168941148741894,0.6032590894202424,0.5898268398268398,0.5395021645021645
6,8.887175604818205e-05,0.7076633345067891,0.5622762207543676,0.7177658051890335,0.5736161152964298,0.577922077922078,0.5676406926406926
7,8.484552115439444e-05,0.7002948344143387,0.5889175257731959,0.7016231255429236,0.6308548968227973,0.625,0.6271645021645021
8,7.681980515339462e-05,0.6996913609161876,0.5939332674856472,0.6991872338162285,0.6398624303963315,0.6168831168831169,0.6185064935064936
9,6.369367558508489e-05,0.7023902635169185,0.5856958762886598,0.7008721276160774,0.6152964297412381,0.6304112554112554,0.6423160173160173
10,4.4999999999999996e-05,0.6932514765683342,0.6055234891042657,0.7338801537631848,0.601048149361284,0.5822510822510822,0.5844155844155844
11,2.2500000000000008e-05,0.6939950492646959,0.6087181307488116,0.7121872947485804,0.6191451031772027,0.5865800865800865,0.5854978354978355
12,3.4254210369920966e-06,0.6868931782011892,0.632913297117106,0.7041933628579528,0.6324107435309532,0.6060606060606061,0.6076839826839827
13,4.456400944391138e-06,0.6867587665327234,0.623576301006235,0.7036752240555731,0.6251228300032755,0.5995670995670995,0.6055194805194806
14,4.499999999999999e-05,0.674977120698667,0.6669971911846411,0.7024612876982499,0.6234032099574189,0.6006493506493507,0.6071428571428571
15,8.999999999999999e-05,0.6883022440804376,0.6292556639298722,0.6995985047715155,0.6320013101867016,0.6158008658008658,0.6287878787878788
16,1.3180194846605399e-05,0.6920932741336573,0.6102691524168159,0.7007950991847829,0.6420733704552899,0.6325757575757576,0.6217532467532467
17,8.999999999999999e-05,0.6906395156399098,0.6213192172356319,0.6954985513417363,0.6445299705207992,0.6390692640692641,0.6363636363636364
18,4.499999999999995e-05,0.6850940673179876,0.6382569911722946,0.7022297669441329,0.6066983295119555,0.5903679653679653,0.6136363636363636
19,8.999999999999999e-05,0.6805374285364463,0.645703438483857,0.7019806477819378,0.6214379299050115,0.6103896103896104,0.6309523809523809
20,0.0,0.6862887468213349,0.6279245632446447,0.7012580061724426,0.6159515230920406,0.6320346320346321,0.6336580086580087
