epoch,loss,ce_bf,ce_df,cons_loss,auc_bf,auc_df,val_patient_auc_bf,val_patient_auc_df,val_patient_auc_mean
1,1.4874743196699354,0.7359620494780198,0.7380718558442358,0.1344042590241027,0.5669451646979737,0.5165197349467012,0.5865800865800865,0.5449134199134199,0.5657467532467533
2,1.412778609796287,0.7018481388201121,0.699136477358201,0.11793987719841252,0.6035033131662345,0.589259579371939,0.5595238095238095,0.6125541125541125,0.586038961038961
3,1.408132919299057,0.7016463892132628,0.69609958907358,0.10386936337340112,0.5994698934024777,0.5978949390185345,0.5925324675324676,0.5135281385281385,0.553030303030303
4,1.414630998037999,0.7042559770976796,0.7015166738454033,0.08858339093089883,0.5796830884471333,0.5780121002592913,0.6282467532467533,0.5503246753246753,0.5892857142857143
5,1.3963792130838033,0.6919885191262937,0.6945692515840718,0.09821449744155984,0.6128070680879669,0.6031652741765101,0.6239177489177489,0.6228354978354979,0.6233766233766234
6,1.4115764201856127,0.6976446648049198,0.7039317406860053,0.10000013596092175,0.60280418707385,0.5792912705272256,0.6471861471861472,0.553030303030303,0.600108225108225
7,1.4028904511258493,0.6920150633730919,0.6997893454981785,0.11086049048729192,0.6190262172284644,0.5977336022279842,0.599025974025974,0.6001082251082251,0.5995670995670996
8,1.397055772706574,0.6923436991529527,0.6951113668921726,0.0960070998060937,0.6060520503217133,0.6067838279074235,0.551948051948052,0.6076839826839827,0.5798160173160174
9,1.392679533459782,0.684974011097079,0.6994665265083313,0.08238989886115579,0.6334812253913378,0.5903658887928551,0.4972943722943723,0.6114718614718615,0.5543831168831169
10,1.3962520988938076,0.6841310504215216,0.7028576487809225,0.0926340238720763,0.6316719485258812,0.5831710362047441,0.612012987012987,0.6623376623376623,0.6371753246753247
11,1.3906595393723133,0.6883419125687842,0.6938059796694837,0.0851165042983161,0.6216882742725439,0.6066993181599923,0.538961038961039,0.5930735930735931,0.5660173160173161
12,1.38515734563466,0.6794691360853856,0.6962439261230768,0.0944428006807963,0.6521348314606742,0.5938960914241813,0.571969696969697,0.5367965367965368,0.5543831168831169
13,1.3773860968795477,0.6773792123482898,0.69086596747629,0.0914091679005841,0.6554883318928263,0.6136790550273696,0.6504329004329005,0.5768398268398268,0.6136363636363636
14,1.3760730185539893,0.672845110082938,0.6938100235134947,0.09417889172734778,0.6597022952079132,0.6010525304907327,0.6417748917748918,0.5811688311688312,0.6114718614718615
15,1.3819215643639657,0.6786522176530626,0.6942732708126891,0.08996081056158527,0.6490079708057236,0.6059310477288006,0.6320346320346321,0.5865800865800865,0.6093073593073592
16,1.3798311881769716,0.6873236910969603,0.6842825896599714,0.08224910848280963,0.6344108326130798,0.6305349082877173,0.6525974025974026,0.6022727272727273,0.627435064935065
17,1.3721997800216177,0.6765617171144174,0.6860184043451072,0.09619653006784278,0.6510016325746663,0.6370805723614712,0.6336580086580087,0.6195887445887446,0.6266233766233766
18,1.3703992030199836,0.6736929260827358,0.6874725234274771,0.09233757086049497,0.6596638816863536,0.6256871218668971,0.5806277056277056,0.5822510822510822,0.5814393939393939
19,1.3498556300705555,0.6650456174526339,0.6751246040942622,0.09685402851478726,0.6709689810813406,0.6537001824642275,0.6569264069264069,0.5546536796536796,0.6057900432900433
20,1.37736926600824,0.6732570416397519,0.6949376322085561,0.09174593149446973,0.6580774032459425,0.6037107461826563,0.6087662337662337,0.5784632034632035,0.5936147186147186
