epoch,byol_loss,train_mean_alignment,val_mean_alignment,val_median_alignment,val_std_alignment,lr
1,2.0077346733638217,0.8492301596062524,0.24382204223158105,0.21608570218086243,0.08657682549981313,0.00029992672421431113
2,1.0563007550580161,0.8232434285538537,0.2069222453782069,0.18027383834123611,0.07854375228969188,0.00029970696917159834
3,0.8979995208127158,0.8170400708913803,0.2647682050509112,0.23873329162597656,0.08065179861790113,0.0002993409517435574
4,0.7839630033288684,0.8112287457500186,0.29153767773615463,0.2679084241390228,0.07407975653954503,0.0002988290331452
5,0.7153538976396833,0.8117558466536658,0.29612400735329303,0.273465096950531,0.07476013984990203,0.00029817171857837797
6,0.6496405346052987,0.8069826641253063,0.34058917852650794,0.3174525052309036,0.07777048483184969,0.0002973696567332103
7,0.6564355662890843,0.8098215652363641,0.36418924879814896,0.356552392244339,0.06595458005212863,0.000296423639147904
8,0.5658283659390041,0.8110386899539402,0.33046828862279654,0.3182453513145447,0.06221483794711229,0.0002953345994276017
9,0.5282528698444366,0.818235267485891,0.31988750238503727,0.3091937005519867,0.07585180002882969,0.00029410361232302604
10,0.4907063671520778,0.8159568565232413,0.35380726074799895,0.3450627475976944,0.06938714501204205,0.00029273189266983027
11,0.4716663786343166,0.8200776427984238,0.2935896891036204,0.2739507257938385,0.08155804991561974,0.00029122079418970247
12,0.4706107633454459,0.8181235236780984,0.3418124801745372,0.32817190885543823,0.07927359129717393,0.0002895718081544053
13,0.438532007592065,0.8163076703037534,0.3036655520222017,0.28015199303627014,0.07937026424962404,0.00028778656191407115
14,0.4040601892130716,0.8229944003479821,0.33884225359984804,0.3184479624032974,0.08532572902530351,0.0002858668172912039
15,0.3816916985171182,0.8265459622655597,0.30203497635998894,0.2877558767795563,0.07318759128359668,0.00028381446884197264
16,0.35236952134541105,0.828997939825058,0.30505152246249573,0.28307056427001953,0.08132415703912804,0.00028163154198651373
17,0.32872896109308514,0.8308521892343249,0.3219877788797021,0.30091923475265503,0.08074834983692869,0.0002793201910100856
18,0.32766808782305035,0.8274289539882115,0.36695559934845995,0.3569227457046509,0.08217332988452315,0.00027688269693704925
19,0.31959884081568035,0.826779591185706,0.3243013829924166,0.2985815107822418,0.08247460298269092,0.00027432146527977245
20,0.29269878353391376,0.8280840452228274,0.3424868539773992,0.32194092869758606,0.08207823839022621,0.0002716390236646797
21,0.3001733422279358,0.8338474120412555,0.33523720409721136,0.3109203726053238,0.0845627184285895,0.00026883801933779
22,0.3139766752719879,0.837604712162699,0.3233460621642215,0.300251841545105,0.07461779024225758,0.0002659212165522047
