epoch,loss,auc,val_pair_auc,val_patient_auc_max
1,0.8526614956352689,0.5961787764676831,0.6112839829675729,0.6098484848484849
2,0.7658411835858582,0.6783752083461942,0.6189813298395022,0.6277056277056277
3,0.7959437883410614,0.7110161121056855,0.6046511627906976,0.5086580086580087
4,0.8177243827497558,0.7710545404037287,0.5941696691778579,0.5275974025974026
5,1.3202700374323293,0.7942504166923884,0.6876842450049132,0.6628787878787878
6,0.721355617775465,0.8295573800851904,0.7088928922371438,0.6374458874458875
7,0.7890086407781741,0.8553884499043151,0.6766295447101212,0.6309523809523809
8,0.74515735897996,0.8967876103463177,0.7360792662954471,0.663961038961039
9,0.8581551612334879,0.9168891598246806,0.6803144448083852,0.6471861471861472
10,0.733802275008747,0.9468177047965923,0.8008516213560433,0.7586580086580087
11,0.8062700665689754,0.9585699734551516,0.7583524402227317,0.7132034632034632
12,0.951741161878685,0.9788374282363109,0.7079102522109401,0.6531385281385281
13,0.9821404784644415,0.9887917464040991,0.7587618735669833,0.7288961038961039
14,0.8649868166774785,0.9871867090561146,0.7906157877497544,0.7435064935064936
15,1.164209362951076,0.9874413544045929,0.759990173599738,0.7202380952380952
16,0.8390471057607494,0.9943476449163529,0.7966754012446774,0.7483766233766234
17,1.099123314273649,0.9949804000246929,0.7719456272518834,0.7153679653679653
18,0.8822330451066341,0.9963423668127662,0.785538814281035,0.7310606060606061
19,1.0218238939477033,0.9984026791777271,0.775548640681297,0.7213203463203464
20,1.0034103777703889,0.9980322859435767,0.7806256141500164,0.7288961038961039
