threshold,df_fraction,patient_auc,sensitivity_at_spec0p8,threshold_for_spec0p8,sensitivity_at_spec0p85,threshold_for_spec0p85,sensitivity_at_spec0p9,threshold_for_spec0p9
0.0012157559394836426,0.0,0.5382016632016632,0.17307692307692307,0.89,0.15384615384615385,0.915,0.057692307692307696,0.9450000000000001
0.006185885071754455,0.016666666666666666,0.5387214137214137,0.17307692307692307,0.89,0.15384615384615385,0.915,0.057692307692307696,0.9450000000000001
0.011156014204025268,0.026666666666666665,0.5385914760914761,0.17307692307692307,0.89,0.15384615384615385,0.915,0.057692307692307696,0.9450000000000001
0.01612614333629608,0.04333333333333333,0.5376819126819127,0.17307692307692307,0.89,0.15384615384615385,0.915,0.057692307692307696,0.9450000000000001
0.021096272468566893,0.05,0.5387214137214137,0.17307692307692307,0.89,0.15384615384615385,0.915,0.057692307692307696,0.9450000000000001
0.026066401600837705,0.05333333333333333,0.5383316008316008,0.17307692307692307,0.89,0.15384615384615385,0.915,0.057692307692307696,0.9450000000000001
0.031036530733108518,0.056666666666666664,0.5388513513513513,0.17307692307692307,0.89,0.15384615384615385,0.915,0.057692307692307696,0.9450000000000001
0.036006659865379334,0.06666666666666667,0.5379417879417879,0.17307692307692307,0.89,0.15384615384615385,0.915,0.057692307692307696,0.9450000000000001
0.04097678899765014,0.07833333333333332,0.5369022869022869,0.17307692307692307,0.89,0.15384615384615385,0.915,0.057692307692307696,0.9450000000000001
0.04594691812992095,0.08666666666666666,0.5371621621621622,0.17307692307692307,0.89,0.15384615384615385,0.915,0.057692307692307696,0.9450000000000001
0.05091704726219177,0.1,0.5382016632016632,0.17307692307692307,0.89,0.15384615384615385,0.915,0.057692307692307696,0.9450000000000001
0.055887176394462584,0.115,0.5397609147609148,0.17307692307692307,0.89,0.15384615384615385,0.915,0.057692307692307696,0.9450000000000001
0.06085730552673339,0.12166666666666666,0.5404106029106029,0.17307692307692307,0.89,0.15384615384615385,0.915,0.057692307692307696,0.9450000000000001
0.0658274346590042,0.14166666666666666,0.5392411642411642,0.17307692307692307,0.89,0.15384615384615385,0.915,0.057692307692307696,0.9450000000000001
0.07079756379127503,0.14666666666666664,0.5395010395010394,0.17307692307692307,0.89,0.15384615384615385,0.915,0.057692307692307696,0.9450000000000001
0.07576769292354583,0.15666666666666665,0.5397609147609148,0.17307692307692307,0.89,0.15384615384615385,0.915,0.057692307692307696,0.9450000000000001
0.08073782205581664,0.16833333333333333,0.5393711018711018,0.17307692307692307,0.89,0.15384615384615385,0.915,0.057692307692307696,0.9450000000000001
0.08570795118808745,0.18166666666666664,0.5393711018711018,0.17307692307692307,0.89,0.15384615384615385,0.915,0.057692307692307696,0.9450000000000001
0.09067808032035826,0.19166666666666668,0.5395010395010394,0.17307692307692307,0.89,0.15384615384615385,0.915,0.057692307692307696,0.9450000000000001
0.09564820945262908,0.195,0.5395010395010394,0.17307692307692307,0.89,0.15384615384615385,0.915,0.057692307692307696,0.9450000000000001
0.1006183385848999,0.20833333333333331,0.5395010395010394,0.17307692307692307,0.89,0.15384615384615385,0.915,0.057692307692307696,0.9450000000000001
0.1055884677171707,0.21333333333333332,0.5396309771309772,0.17307692307692307,0.89,0.15384615384615385,0.915,0.057692307692307696,0.9450000000000001
0.11055859684944153,0.22666666666666666,0.5396309771309772,0.17307692307692307,0.89,0.15384615384615385,0.915,0.057692307692307696,0.9450000000000001
0.11552872598171234,0.235,0.541450103950104,0.17307692307692307,0.89,0.15384615384615385,0.915,0.057692307692307696,0.9450000000000001
0.12049885511398314,0.24333333333333335,0.5427494802494802,0.17307692307692307,0.89,0.15384615384615385,0.915,0.057692307692307696,0.9450000000000001
0.12546898424625397,0.24833333333333332,0.5427494802494802,0.17307692307692307,0.89,0.15384615384615385,0.915,0.057692307692307696,0.9450000000000001
0.13043911337852476,0.25333333333333335,0.5432692307692307,0.17307692307692307,0.89,0.15384615384615385,0.915,0.057692307692307696,0.9450000000000001
0.13540924251079559,0.26,0.5432692307692307,0.17307692307692307,0.89,0.15384615384615385,0.915,0.057692307692307696,0.9450000000000001
0.1403793716430664,0.2766666666666666,0.5382016632016632,0.17307692307692307,0.89,0.15384615384615385,0.915,0.057692307692307696,0.9450000000000001
0.1453495007753372,0.29833333333333334,0.5356029106029107,0.17307692307692307,0.89,0.15384615384615385,0.915,0.057692307692307696,0.9450000000000001
0.15031962990760803,0.31,0.5380717255717256,0.17307692307692307,0.89,0.15384615384615385,0.915,0.057692307692307696,0.9450000000000001
0.15528975903987882,0.325,0.5384615384615384,0.17307692307692307,0.89,0.15384615384615385,0.915,0.057692307692307696,0.9450000000000001
0.16025988817214964,0.33333333333333326,0.5383316008316008,0.17307692307692307,0.89,0.15384615384615385,0.915,0.057692307692307696,0.9450000000000001
0.16523001730442047,0.345,0.5374220374220374,0.17307692307692307,0.89,0.15384615384615385,0.915,0.057692307692307696,0.9450000000000001
0.17020014643669126,0.35166666666666674,0.5372920997920998,0.17307692307692307,0.89,0.15384615384615385,0.915,0.057692307692307696,0.9450000000000001
0.17517027556896209,0.36,0.5366424116424117,0.17307692307692307,0.89,0.15384615384615385,0.915,0.057692307692307696,0.9450000000000001
0.18014040470123288,0.3666666666666667,0.5388513513513513,0.17307692307692307,0.89,0.15384615384615385,0.915,0.057692307692307696,0.9450000000000001
0.1851105338335037,0.3783333333333333,0.5402806652806653,0.17307692307692307,0.89,0.15384615384615385,0.915,0.057692307692307696,0.9450000000000001
0.19008066296577453,0.385,0.541450103950104,0.17307692307692307,0.89,0.15384615384615385,0.915,0.057692307692307696,0.9450000000000001
0.19505079209804532,0.39166666666666666,0.5413201663201663,0.17307692307692307,0.89,0.15384615384615385,0.915,0.057692307692307696,0.9450000000000001
0.20002092123031615,0.405,0.5428794178794178,0.17307692307692307,0.89,0.15384615384615385,0.915,0.057692307692307696,0.9450000000000001
0.20499105036258697,0.4133333333333333,0.5417099792099792,0.17307692307692307,0.89,0.15384615384615385,0.915,0.057692307692307696,0.9450000000000001
0.20996117949485776,0.4183333333333333,0.5417099792099792,0.17307692307692307,0.89,0.15384615384615385,0.915,0.057692307692307696,0.9450000000000001
0.2149313086271286,0.425,0.5417099792099792,0.17307692307692307,0.89,0.15384615384615385,0.915,0.057692307692307696,0.9450000000000001
